 
,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
375,Alessandro Buongiorno\Alessandro-Buongiorno,it ITA,DF,Torino,it Serie A,21-326,1999,6.2,3,0,0,12,5,1,0,13,3,0,0,0,37,16,5,76.2,Matches
376,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,29-109,1992,12.3,5,0,0,14,3,1,0,12,8,0,0,0,176,38,34,52.8,Matches
377,Burgui\Burgui,es ESP,MF,Alavés,es La Liga,27-181,1993,0.2,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,100.0,Matches
378,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,de Bundesliga,20-291,2000,14.4,0,0,0,25,41,2,11,4,13,1,0,0,111,21,56,27.3,Matches
379,Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,de Bundesliga,21-087,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
380,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,eng Premier League,24-021,1997,12.9,2,0,0,23,6,3,18,2,9,0,0,0,51,25,47,34.7,Matches
381,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,30-165,1990,16.0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0.0,Matches
382,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,28-354,1992,17.9,5,0,0,27,4,4,30,25,15,0,1,1,170,80,34,70.2,Matches
383,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,25-017,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
384,Patrick Burner\Patrick-Burner,fr FRA,DF,Nîmes,fr Ligue 1,25-017,1996,12.9,0,0,0,12,10,0,22,18,12,0,0,0,107,9,17,34.6,Matches
385,Maxime Busi\Maxime-Busi,be BEL,DF,Parma,it Serie A,21-196,1999,9.2,3,0,0,17,7,0,14,11,9,0,1,0,75,9,13,40.9,Matches
386,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,32-286,1988,23.0,8,0,0,38,48,0,3,26,32,0,0,0,256,39,33,54.2,Matches
387,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,32-060,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
388,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,eng Premier League,23-028,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
389,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,21-206,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
390,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,26-009,1995,14.7,9,0,0,24,20,1,3,12,17,0,0,0,140,52,19,73.2,Matches
391,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,39-212,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
392,Jimmy Cabot\Jimmy-Cabot,fr FRA,FW,Angers,fr Ligue 1,27-010,1994,8.4,1,0,0,14,8,1,15,10,11,0,0,0,74,1,10,9.1,Matches
393,Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,it Serie A,34-021,1987,20.2,1,0,0,13,16,0,31,12,10,0,1,0,142,19,22,46.3,Matches
394,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,23-301,1997,27.4,0,0,0,28,12,0,58,51,54,0,0,0,246,28,44,38.9,Matches
395,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,MFFW,Reims,fr Ligue 1,24-034,1997,21.7,3,0,0,28,36,5,53,18,19,0,0,0,146,6,22,21.4,Matches
396,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,eng Premier League,35-130,1985,16.0,3,0,0,10,3,3,0,14,6,0,0,0,120,66,31,68.0,Matches
397,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MF,Lens,fr Ligue 1,36-100,1985,22.3,8,0,0,26,22,2,10,29,20,0,0,1,198,35,23,60.3,Matches
398,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,32-235,1988,10.0,5,0,0,26,17,8,0,2,8,0,0,0,43,30,27,52.6,Matches
399,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26-351,1994,4.0,1,0,0,1,1,0,0,0,0,0,1,0,17,0,0,,Matches
400,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,eng Premier League,30-098,1991,8.4,2,0,0,4,18,1,18,1,4,1,0,0,71,2,5,28.6,Matches
401,Cala\Cala,es ESP,DF,Cádiz,es La Liga,31-153,1989,24.2,8,0,0,32,30,1,0,23,23,1,1,0,204,53,35,60.2,Matches
402,Arturo Calabresi\Arturo-Calabresi,it ITA,DFFW,Bologna,it Serie A,25-042,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
403,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Cagliari,it Serie A,25-042,1996,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
404,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,24-143,1996,25.6,6,0,0,26,32,2,50,25,44,1,0,1,270,21,31,40.4,Matches
405,Riccardo Calafiori\Riccardo-Calafiori,it ITA,DF,Roma,it Serie A,18-344,2002,0.7,2,0,0,6,2,0,0,1,2,0,0,0,9,3,1,75.0,Matches
406,Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,it Serie A,26-358,1994,1.2,1,0,0,3,1,0,1,3,2,0,0,0,17,5,6,45.5,Matches
407,Luca Caldirola\Luca-Caldirola,it ITA,DF,Benevento,it Serie A,30-086,1991,13.6,4,0,0,15,19,1,3,8,10,0,0,0,98,19,24,44.2,Matches
408,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,24-223,1996,27.6,8,1,0,30,14,1,0,31,16,0,0,0,239,76,23,76.8,Matches
409,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,it Serie A,27-079,1994,24.4,4,0,0,23,40,3,56,21,12,1,0,0,160,10,31,24.4,Matches
410,Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,18-245,2002,3.3,0,0,0,1,1,0,6,6,2,0,0,0,31,2,4,33.3,Matches
411,Fabrizio Caligara\Fabrizio-Caligara,it ITA,MF,Cagliari,it Serie A,21-016,2000,2.0,2,0,0,11,2,0,4,3,3,0,1,0,15,3,0,100.0,Matches
412,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFDF,Augsburg,de Bundesliga,33-103,1988,28.6,5,0,0,34,59,3,41,38,45,0,0,0,230,35,50,41.2,Matches
413,José Callejón\Jose-Callejon,es ESP,FWMF,Fiorentina,it Serie A,34-076,1987,6.7,0,0,0,6,11,0,21,6,2,0,0,0,40,7,9,43.8,Matches
414,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,es La Liga,27-217,1993,17.2,4,0,0,42,39,16,14,5,6,0,0,0,73,86,91,48.6,Matches
415,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,24-043,1997,25.9,3,0,0,33,33,16,13,5,10,2,0,0,92,110,123,47.2,Matches
416,Dani Calvo\Dani-Calvo,es ESP,DF,Elche,es La Liga,27-027,1994,15.8,3,0,0,15,13,2,1,16,12,0,1,0,86,43,30,58.9,Matches
417,Mahdi Camara\Mahdi-Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,22-302,1998,32.6,4,0,0,45,40,0,21,48,64,0,0,0,288,44,30,59.5,Matches
418,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,18-169,2002,24.2,6,0,0,52,49,0,4,17,61,0,0,0,192,24,26,48.0,Matches
419,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,27-332,1993,8.3,0,0,0,7,13,1,16,8,8,0,0,0,76,6,8,42.9,Matches
420,Emre Can\Emre-Can,de GER,DFMF,Dortmund,de Bundesliga,27-106,1994,21.7,5,0,0,31,19,1,12,36,40,0,1,0,248,49,20,71.0,Matches
421,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,30-071,1991,24.7,4,0,0,13,19,2,41,13,11,0,0,0,159,9,26,25.7,Matches
422,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,eng Premier League,26-336,1994,22.6,4,0,0,33,12,2,63,43,39,0,0,0,235,30,24,55.6,Matches
423,Antonio Candreva\Antonio-Candreva,it ITA,MF,Sampdoria,it Serie A,34-059,1987,23.9,1,0,0,13,26,9,125,25,13,1,0,0,183,2,14,12.5,Matches
424,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,29-079,1992,23.7,5,0,0,26,9,1,54,30,23,0,1,0,214,23,22,51.1,Matches
425,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFFW,Angers,fr Ligue 1,34-013,1987,18.9,2,0,0,29,18,4,20,35,24,0,1,0,176,39,47,45.3,Matches
426,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,es La Liga,32-291,1988,9.9,4,1,0,23,16,0,0,17,9,0,1,0,82,19,6,76.0,Matches
427,Gianluca Caprari\Gianluca-Caprari,it ITA,MFFW,Benevento,it Serie A,27-272,1993,18.9,4,1,0,23,51,8,30,26,14,1,0,0,121,4,29,12.1,Matches
428,Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,it Serie A,33-265,1987,18.1,1,0,0,15,28,18,3,4,1,2,0,0,40,13,22,37.1,Matches
429,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,Lyon,fr Ligue 1,21-072,2000,17.1,2,0,0,26,20,0,10,24,51,0,0,0,156,14,11,56.0,Matches
430,Andrea Carboni\Andrea-Carboni,it ITA,DF,Cagliari,it Serie A,20-083,2001,8.1,0,0,0,5,5,0,5,8,4,0,0,0,53,9,20,31.0,Matches
431,Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,es La Liga,28-005,1993,24.7,1,0,0,14,43,0,30,39,32,0,2,0,241,33,27,55.0,Matches
432,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,24-031,1997,4.0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,,Matches
433,Irvin Cardona\Irvin-Cardona,fr FRA,FWMF,Brest,fr Ligue 1,23-263,1997,21.6,2,0,0,18,15,16,32,9,4,1,0,0,67,23,32,41.8,Matches
434,Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,es La Liga,25-294,1995,0.6,0,0,0,3,1,1,1,0,0,0,0,0,7,0,2,0.0,Matches
435,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,eng Premier League,21-078,2000,3.3,0,0,0,4,6,2,9,1,6,0,0,0,23,0,3,0.0,Matches
436,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,28-044,1993,27.5,8,0,0,42,19,0,3,24,20,0,2,1,220,60,43,58.3,Matches
437,Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,es La Liga,30-044,1991,3.2,0,0,0,13,7,0,2,3,3,0,0,0,24,5,5,50.0,Matches
438,Lionel Carole\Lionel-Carole,fr FRA,DF,Strasbourg,fr Ligue 1,30-016,1991,13.6,1,0,0,14,18,1,34,28,26,0,0,0,139,27,6,81.8,Matches
439,Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,27-236,1993,19.2,5,0,0,25,26,2,55,21,20,0,1,0,138,3,15,16.7,Matches
440,Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,es La Liga,20-197,2000,2.9,0,0,0,2,2,0,4,1,2,0,0,0,16,1,1,50.0,Matches
441,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,es La Liga,29-338,1991,9.5,3,0,0,23,10,2,2,6,7,0,0,0,44,70,51,57.9,Matches
442,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,32-112,1989,4.3,1,0,0,11,10,4,3,1,1,0,0,0,36,46,34,57.5,Matches
443,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,29-107,1992,10.6,5,0,0,16,11,0,22,16,21,0,1,0,100,11,8,57.9,Matches
444,William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,29-021,1992,12.4,6,1,1,16,11,0,2,8,16,0,0,0,113,30,19,61.2,Matches
445,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,29-064,1992,27.5,10,1,1,51,52,4,9,53,51,0,0,0,306,94,69,57.7,Matches
446,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,eng Premier League,23-264,1997,23.9,8,1,1,31,20,2,57,44,39,0,2,0,213,36,35,50.7,Matches
447,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,34-208,1986,1.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
448,Giuseppe Caso\Giuseppe-Caso,it ITA,MF,Genoa,it Serie A,22-140,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
449,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,23-071,1998,19.1,8,3,0,26,22,0,5,31,28,0,0,0,197,3,11,21.4,Matches
450,Francesco Cassata\Francesco-Cassata,it ITA,DF,Genoa,it Serie A,23-286,1997,1.4,0,0,0,3,6,0,1,2,4,0,0,0,12,0,1,0.0,Matches
451,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,eng Premier League,25-144,1995,21.1,1,0,0,16,11,1,32,19,31,0,0,0,175,35,38,47.9,Matches
452,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28-307,1992,30.0,0,0,0,1,2,0,0,0,0,0,1,0,156,0,0,,Matches
453,Jean-Charles Castelletto\Jean-Charles-Castelletto,cm CMR,DF,Nantes,fr Ligue 1,26-092,1995,19.5,4,0,0,33,8,0,2,27,13,0,2,0,176,52,26,66.7,Matches
454,Samu Castillejo\Samu-Castillejo,es ESP,FW,Milan,it Serie A,26-100,1995,11.6,4,0,0,22,27,3,24,11,16,0,0,0,73,10,14,41.7,Matches
455,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,de Bundesliga,33-321,1987,18.0,8,0,0,17,13,1,25,10,11,0,0,0,154,11,18,37.9,Matches
456,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,27-056,1994,5.5,0,0,0,7,11,0,6,7,6,0,0,0,37,8,4,66.7,Matches
457,Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,24-070,1997,23.3,6,1,0,37,60,1,28,30,27,0,1,0,168,15,40,27.3,Matches
458,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,26-265,1994,4.1,2,0,0,3,3,0,6,7,7,0,0,0,42,2,2,50.0,Matches
459,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,eng Premier League,27-192,1993,22.6,2,0,0,27,23,9,53,14,16,0,0,0,139,38,70,35.2,Matches
460,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,eng Premier League,34-073,1987,12.8,3,0,0,16,12,5,5,7,5,0,0,0,65,7,17,29.2,Matches
461,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,eng Premier League,24-264,1996,16.1,3,0,0,20,23,0,11,22,31,0,0,0,175,7,11,38.9,Matches
462,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Hellas Verona,it Serie A,28-352,1992,16.1,8,0,0,41,28,1,6,26,11,0,0,0,200,70,32,68.6,Matches
463,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,28-352,1992,3.0,2,0,0,5,3,0,0,3,2,0,1,1,26,5,5,50.0,Matches
464,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,24-070,1997,22.6,6,0,0,47,11,2,40,24,32,0,0,1,172,29,20,59.2,Matches
465,Bersant Celina\Bersant-Celina,xk KVX,MFFW,Dijon,fr Ligue 1,24-231,1996,24.1,5,0,0,14,18,3,45,13,11,0,1,0,147,3,21,12.5,Matches
466,Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,25-102,1996,31.8,8,0,0,39,46,2,86,53,50,0,1,0,300,50,28,64.1,Matches
467,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,31-260,1989,12.5,3,0,0,9,10,0,7,19,15,0,0,0,104,41,18,69.5,Matches
468,Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,25-012,1996,3.0,1,0,0,16,13,1,2,1,5,0,0,0,20,25,22,53.2,Matches
469,Sava Cestic\Sava-Cestic,de GER,DF,Köln,de Bundesliga,20-068,2001,10.0,3,0,0,15,4,0,0,29,14,0,1,0,74,19,10,65.5,Matches
470,Julian Chabot\Julian-Chabot,de GER,DF,Spezia,it Serie A,23-075,1998,16.4,10,1,1,29,29,0,2,22,36,0,1,0,151,56,28,66.7,Matches
471,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,34-194,1986,14.2,5,0,0,16,21,0,24,16,24,0,1,0,112,21,15,58.3,Matches
472,Mehdi Chahiri\Mehdi-Chahiri,ma MAR,FWMF,Strasbourg,fr Ligue 1,24-277,1996,8.9,0,0,0,4,9,3,8,12,13,0,0,0,64,13,17,43.3,Matches
473,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,27-238,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches
474,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,es La Liga,27-238,1993,9.2,5,0,0,14,15,0,0,13,7,0,3,1,104,36,15,70.6,Matches
475,Aníbal Chalá\Anibal-Chala,ec ECU,DF,Dijon,fr Ligue 1,24-354,1996,7.8,0,0,0,13,8,0,9,15,7,0,0,0,52,6,7,46.2,Matches
476,Trevoh Chalobah\Trevoh-Chalobah,eng ENG,MFDF,Lorient,fr Ligue 1,21-297,1999,20.9,5,0,0,18,24,0,11,51,26,0,0,0,202,32,29,52.5,Matches
477,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,26-098,1995,4.9,0,0,0,5,1,0,16,6,1,0,0,0,46,15,12,55.6,Matches
478,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,31-030,1990,2.6,1,0,0,4,1,3,7,2,1,0,0,0,24,6,4,60.0,Matches
479,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,26-302,1994,2.4,2,0,0,4,5,1,4,5,2,0,0,0,12,5,5,50.0,Matches
480,Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,MFFW,Brest,fr Ligue 1,32-122,1988,13.6,3,0,0,22,16,9,14,8,14,0,0,0,70,26,40,39.4,Matches
481,Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,26-127,1994,26.2,2,1,0,24,22,0,5,36,26,0,1,0,187,69,42,62.2,Matches
482,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,30-052,1991,24.3,8,0,0,34,6,2,11,29,54,0,0,0,168,14,16,46.7,Matches
483,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Dijon,fr Ligue 1,23-263,1997,12.1,5,0,0,42,24,0,1,6,17,1,0,0,127,11,14,44.0,Matches
484,Chema\Chema,es ESP,DFMF,Getafe,es La Liga,29-056,1992,4.0,2,1,0,8,3,0,0,4,3,0,0,0,44,4,10,28.6,Matches
485,Rayan Cherki\Rayan-Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,17-254,2003,6.2,1,1,0,11,18,2,7,4,3,1,0,0,33,0,8,0.0,Matches
486,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,es La Liga,30-123,1990,11.7,3,0,0,25,14,1,30,7,17,0,0,0,67,15,18,45.5,Matches
487,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,36-257,1984,12.8,2,0,0,14,10,1,1,14,9,0,2,0,98,31,13,70.5,Matches
488,Federico Chiesa\Federico-Chiesa,it ITA,DF,Fiorentina,it Serie A,23-185,1997,2.7,0,0,0,2,3,2,9,1,2,0,0,0,20,1,1,50.0,Matches
489,Federico Chiesa\Federico-Chiesa,it ITA,MFDF,Juventus,it Serie A,23-185,1997,21.4,1,1,0,25,31,11,62,11,37,2,0,0,115,6,31,16.2,Matches
490,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,eng Premier League,24-128,1996,21.5,3,0,0,19,37,6,84,23,27,0,0,0,177,38,29,56.7,Matches
491,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,31-165,1989,16.5,5,0,0,27,10,1,2,24,12,0,0,1,168,50,27,64.9,Matches
492,Pedro Chirivella\Pedro-Chirivella,es ESP,MF,Nantes,fr Ligue 1,23-340,1997,21.3,4,0,0,23,13,0,5,26,14,0,0,0,220,10,22,31.3,Matches
493,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,de Bundesliga,21-145,1999,4.3,1,0,0,13,14,0,7,3,8,0,1,0,49,1,9,10.0,Matches
494,Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,19-216,2001,10.9,2,0,0,10,7,0,6,16,14,0,0,0,81,9,10,47.4,Matches
495,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,23-209,1997,3.4,1,0,0,6,2,0,0,3,7,0,0,0,53,2,3,40.0,Matches
496,Mounir Chouiar\Mounir-Chouiar,fr FRA,FWMF,Dijon,fr Ligue 1,22-095,1999,12.9,5,0,0,24,20,3,15,9,15,0,1,0,80,12,14,46.2,Matches
497,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,25-018,1996,13.7,2,1,0,6,5,0,0,23,10,0,0,0,125,42,20,67.7,Matches
498,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,21-341,1999,14.4,0,0,0,12,30,15,37,6,9,1,0,0,88,12,15,44.4,Matches
499,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,de Bundesliga,20-291,2000,1.6,0,0,0,3,3,1,3,1,1,0,0,0,17,1,4,20.0,Matches
500,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,es La Liga,21-054,2000,1.1,0,0,0,1,0,0,0,1,1,0,0,0,9,3,3,50.0,Matches
501,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,23-057,1998,3.0,0,0,0,1,0,0,0,0,0,0,1,0,12,0,0,,Matches
502,Cifu\Cifu,es ESP,DF,Elche,es La Liga,30-205,1990,4.9,1,0,0,6,5,0,9,3,6,0,0,0,49,7,7,50.0,Matches
503,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41-334,1979,2.0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,,Matches
504,Luca Cigarini\Luca-Cigarini,it ITA,MF,Crotone,it Serie A,34-312,1986,6.6,5,1,1,16,16,0,4,4,9,1,0,0,74,5,7,41.7,Matches
505,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,32-006,1989,5.0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,,Matches
506,Antonio Cioffi\Antonio-Cioffi,it ITA,FW,Napoli,it Serie A,18-130,2002,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
507,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,de Bundesliga,19-114,2002,0.4,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,,Matches
508,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,31-214,1989,20.1,3,0,0,16,11,1,0,20,14,0,1,1,166,77,34,69.4,Matches
509,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,22-326,1998,18.8,1,0,0,22,46,1,17,11,22,0,0,0,105,6,19,24.0,Matches
510,Jonathan Clauss\Jonathan-Clauss,fr FRA,DF,Lens,fr Ligue 1,28-215,1992,24.3,1,0,0,17,12,1,113,37,24,1,1,0,185,14,28,33.3,Matches
511,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,es La Liga,29-066,1992,27.6,5,0,0,34,25,4,80,28,43,1,0,0,254,44,27,62.0,Matches
512,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,eng Premier League,30-023,1991,12.7,2,0,0,4,2,0,13,13,9,0,0,0,99,7,15,31.8,Matches
513,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,28-062,1993,31.7,4,0,0,18,8,0,1,20,18,0,1,0,231,35,23,60.3,Matches
514,Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,fr Ligue 1,24-308,1996,15.7,4,0,0,45,29,2,23,14,30,1,0,0,124,31,47,39.7,Matches
515,Coke\Coke,es ESP,DF,Levante,es La Liga,34-002,1987,8.1,1,0,0,8,7,0,8,10,10,0,1,0,63,11,18,37.9,Matches
516,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,eng Premier League,32-199,1988,13.2,0,0,0,9,12,0,21,17,17,0,0,0,110,9,9,50.0,Matches
517,Ebrima Colley\Ebrima-Colley,gm GAM,FWMF,Hellas Verona,it Serie A,21-086,2000,7.5,1,0,0,13,16,7,10,2,4,0,0,0,52,3,31,8.8,Matches
518,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,28-186,1992,24.8,6,0,0,30,19,1,5,47,18,0,0,0,240,74,40,64.9,Matches
519,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29-301,1991,2.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
520,Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,19-051,2002,1.0,0,0,0,1,0,3,1,1,2,0,0,0,6,3,3,50.0,Matches
521,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,25-141,1995,0.2,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,,Matches
522,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24-319,1996,17.9,1,0,0,13,33,6,71,11,12,1,0,0,121,11,22,33.3,Matches
523,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,36-023,1985,33.3,4,0,0,27,23,0,3,42,34,0,1,0,273,64,42,60.4,Matches
524,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,21-090,2000,8.3,0,0,0,5,13,8,2,0,5,1,0,0,27,11,30,26.8,Matches
525,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,34-091,1987,32.0,1,0,0,2,4,0,0,0,0,0,0,0,134,0,0,,Matches
