 
,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-030,2002,2.4,1,1,0,4,9,0,1,4,1,0,0,0,21,1,2,33.3,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-300,1999,9.0,0,0,0,14,14,1,4,4,17,0,1,0,61,5,11,31.3,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-036,2000,1.3,0,0,0,2,1,3,0,1,2,0,0,0,4,1,5,16.7,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-039,1994,21.1,8,0,0,46,26,0,5,47,29,0,0,0,211,38,27,58.5,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-039,1994,0.4,0,0,0,0,1,0,0,2,0,0,0,0,3,1,1,50.0,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-211,1995,12.6,3,0,0,12,13,1,1,13,17,0,0,0,137,41,38,51.9,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-202,1996,27.9,2,0,0,28,23,1,40,49,23,0,0,0,245,31,42,42.5,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-326,2001,2.1,0,0,0,2,3,0,4,1,2,0,0,0,12,2,4,33.3,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-326,2001,11.8,0,0,0,10,18,0,20,10,13,0,1,0,84,10,14,41.7,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-170,1993,25.9,3,1,0,27,3,0,5,32,38,0,2,0,228,69,33,67.6,Matches
