,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
657,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,29-077,1992,0.9,2,1,0,1,1,1,4,25.0,3,22,3,13.6,3,12,7,4,0,0,4,1,3,0,0,Matches
658,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,32-220,1988,5.6,0,0,0,0,0,0,3,0.0,3,64,16,25.0,4,23,37,1,1,0,0,0,0,7,0,Matches
659,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,it Serie A,32-220,1988,5.3,5,2,2,1,2,1,3,33.3,2,47,8,17.0,6,27,14,3,0,0,3,1,6,5,0,Matches
660,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,27-267,1993,31.0,74,50,47,20,7,35,70,50.0,35,375,125,33.3,171,128,76,57,11,0,46,29,103,57,0,Matches
661,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,33-073,1988,18.2,30,20,8,12,10,15,41,36.6,26,269,80,29.7,43,97,129,26,1,0,25,6,36,4,0,Matches
662,Alessandro Di Pardo\Alessandro-Di-Pardo,it ITA,MFDF,Juventus,it Serie A,21-284,1999,0.2,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,1,1,0,0,0,0,0,0,Matches
663,Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,MFFW,Benevento,it Serie A,19-282,2001,2.1,2,2,2,0,0,1,6,16.7,5,47,8,17.0,16,18,13,2,0,0,2,1,3,1,0,Matches
664,Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,fr Ligue 1,24-163,1996,28.8,25,14,6,8,11,4,20,20.0,16,376,94,25.0,55,149,172,18,3,0,15,15,40,27,0,Matches
665,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,es La Liga,29-342,1991,0.2,1,1,0,1,0,0,0,,0,2,0,0.0,0,1,1,2,0,0,2,0,1,0,0,Matches
666,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21-295,1999,25.0,11,6,5,4,2,2,15,13.3,13,257,68,26.5,34,117,106,14,0,0,14,15,26,7,0,Matches
667,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,eng Premier League,29-182,1991,11.6,8,4,3,2,3,1,4,25.0,3,119,38,31.9,13,38,68,5,1,0,4,2,10,14,0,Matches
668,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,24-130,1996,19.9,18,12,12,6,0,10,13,76.9,3,132,45,34.1,79,47,6,45,24,0,21,5,23,105,1,Matches
669,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,24-359,1996,14.2,22,14,12,8,2,8,13,61.5,5,111,36,32.4,48,53,10,21,8,0,13,12,34,44,2,Matches
670,Amad Diallo\Amad-Diallo,ci CIV,MF,Atalanta,it Serie A,18-291,2002,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
671,Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25-314,1995,22.5,12,10,5,5,2,3,11,27.3,8,212,59,27.8,24,88,100,13,3,0,10,12,24,14,1,Matches
672,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,25-314,1995,1.6,1,0,0,0,1,1,1,100.0,0,19,6,31.6,2,7,10,1,0,0,1,0,1,5,0,Matches
673,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,eng Premier League,22-051,1999,9.6,26,22,13,11,2,7,19,36.8,12,195,64,32.8,69,113,13,14,1,0,13,13,39,14,0,Matches
674,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,22-051,1999,4.9,9,8,1,6,2,2,7,28.6,5,85,24,28.2,22,51,12,4,0,0,4,3,12,3,0,Matches
675,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,eng Premier League,23-009,1998,12.1,29,16,18,5,6,12,30,40.0,18,273,55,20.1,131,86,56,26,1,0,25,13,42,4,0,Matches
676,Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,22-140,1998,2.0,1,1,1,0,0,0,8,0.0,8,45,10,22.2,11,21,13,6,1,0,5,0,1,0,0,Matches
677,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,eng Premier League,24-135,1996,23.0,31,17,14,10,7,9,43,20.9,34,355,90,25.4,99,138,118,36,1,0,35,29,60,29,0,Matches
678,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,fr Ligue 1,24-135,1996,4.5,6,2,2,3,1,1,6,16.7,5,64,11,17.2,16,24,24,6,0,0,6,4,10,2,0,Matches
679,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,eng Premier League,23-349,1997,28.6,27,19,14,11,2,4,16,25.0,12,152,57,37.5,74,62,16,40,21,0,19,21,48,102,0,Matches
680,Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,22-062,1999,3.9,5,2,1,2,2,1,2,50.0,1,59,14,23.7,5,26,28,7,1,0,6,1,6,3,0,Matches
681,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,23-285,1997,7.3,14,12,5,9,0,4,12,33.3,8,192,40,20.8,50,124,18,11,2,0,9,9,23,11,0,Matches
682,Brahim Díaz\Brahim-Diaz,es ESP,MFFW,Milan,it Serie A,21-268,1999,10.8,20,18,9,8,3,4,15,26.7,11,224,65,29.0,48,98,78,11,1,0,10,6,26,2,0,Matches
683,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,32-320,1988,7.0,13,10,8,3,2,8,16,50.0,8,79,22,27.8,40,30,9,19,6,1,13,12,25,34,0,Matches
684,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,de Bundesliga,31-066,1990,9.6,13,6,3,6,4,1,7,14.3,6,156,53,34.0,24,53,79,10,0,0,10,6,19,9,0,Matches
685,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,eng Premier League,27-103,1994,24.0,21,12,12,8,1,10,19,52.6,9,141,40,28.4,87,47,7,45,31,0,14,15,36,152,0,Matches
686,Daan Dierckx\Daan-Dierckx,be BEL,DF,Parma,it Serie A,18-063,2003,2.0,5,4,4,1,0,1,1,100.0,0,20,6,30.0,13,5,2,5,4,0,1,2,7,9,0,Matches
687,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,eng Premier League,27-282,1993,23.8,64,35,44,11,9,24,43,55.8,19,317,84,26.5,153,100,64,54,3,0,51,16,80,71,0,Matches
688,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,29-294,1991,4.1,3,1,1,2,0,0,1,0.0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,Matches
689,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,28-078,1993,14.1,28,17,20,5,3,13,21,61.9,8,191,59,30.9,91,66,34,26,2,0,24,16,44,30,0,Matches
690,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22-310,1998,3.3,6,4,1,1,4,2,4,50.0,2,60,22,36.7,17,21,22,5,0,0,5,5,11,1,0,Matches
691,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,23-169,1997,25.4,33,18,20,11,2,8,25,32.0,17,234,74,31.6,92,100,42,40,10,0,30,32,65,62,0,Matches
692,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,30-070,1991,0.2,0,0,0,0,0,0,1,0.0,1,3,0,0.0,1,1,1,0,0,0,0,0,0,0,0,Matches
693,Eren Dinkçi\Eren-Dinkci,de GER,FW,Werder Bremen,de Bundesliga,19-136,2001,1.1,2,0,1,0,1,0,2,0.0,2,36,2,5.6,7,17,12,3,0,0,3,2,4,1,0,Matches
694,Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,fr Ligue 1,20-019,2001,10.9,12,8,8,4,0,8,18,44.4,10,99,29,29.3,56,34,9,21,13,1,8,16,28,78,1,Matches
695,Lois Diony\Lois-Diony,fr FRA,FW,Angers,fr Ligue 1,28-129,1992,17.2,17,12,4,9,4,1,11,9.1,10,295,78,26.4,10,145,140,8,2,0,6,3,20,14,0,Matches
696,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,24-109,1997,13.3,20,15,10,10,0,5,14,35.7,9,93,33,35.5,47,42,4,31,22,1,9,14,34,63,2,Matches
697,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,35-040,1986,22.4,41,32,13,22,6,14,45,31.1,31,276,96,34.8,65,175,36,24,6,0,18,34,75,49,2,Matches
698,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20-323,2000,22.5,64,41,21,35,8,15,51,29.4,36,474,141,29.7,117,231,126,40,1,0,39,16,80,11,0,Matches
699,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-163,1999,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
700,Assane Dioussé\Assane-Diousse,sn SEN,DF,Saint-Étienne,fr Ligue 1,23-220,1997,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
701,Axel Disasi\Axel-Disasi,fr FRA,DF,Monaco,fr Ligue 1,23-048,1998,20.6,25,20,12,12,1,13,29,44.8,16,141,62,44.0,70,65,6,28,12,0,16,22,47,92,1,Matches
702,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,21-019,2000,8.7,26,17,17,7,2,16,23,69.6,7,105,38,36.2,54,39,12,21,4,0,17,11,37,28,0,Matches
703,Djené\Djene,tg TOG,DF,Getafe,es La Liga,29-118,1991,28.4,53,31,30,20,3,20,29,69.0,9,221,81,36.7,109,104,8,31,11,1,20,40,93,174,1,Matches
704,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,eng Premier League,22-317,1998,12.6,43,20,23,11,9,16,50,32.0,34,304,86,28.3,110,113,81,26,0,0,26,10,53,14,0,Matches
705,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Crotone,it Serie A,28-149,1992,11.9,37,15,25,8,4,7,17,41.2,10,199,57,28.6,113,71,15,39,15,1,24,17,54,62,0,Matches
706,Alexander Djiku\Alexander-Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,26-262,1994,24.4,58,38,46,11,1,21,42,50.0,21,272,93,34.2,155,102,15,35,13,0,22,69,127,143,1,Matches
707,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,28-068,1993,24.8,36,23,23,11,2,15,35,42.9,20,264,109,41.3,118,120,26,45,18,1,27,38,74,106,0,Matches
708,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,29-094,1992,30.7,1,2,1,0,0,0,3,0.0,3,7,0,0.0,7,0,0,0,0,0,0,0,1,0,1,Matches
709,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,de Bundesliga,22-316,1998,27.9,50,36,17,24,9,12,47,25.5,35,573,177,30.9,151,254,168,50,3,0,47,25,75,12,0,Matches
710,Mihai Dobre\Mihai-Dobre,ro ROU,FWMF,Dijon,fr Ligue 1,22-241,1998,5.0,10,7,5,3,2,5,12,41.7,7,90,26,28.9,22,35,33,12,0,0,12,9,19,6,0,Matches
711,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,eng Premier League,29-102,1992,12.7,18,6,5,8,5,10,29,34.5,19,165,32,19.4,67,66,32,36,5,0,31,14,32,47,0,Matches
712,Jeremy Doku\Jeremy-Doku,be BEL,MFFW,Rennes,fr Ligue 1,18-336,2002,22.1,46,34,14,19,13,14,34,41.2,20,365,116,31.8,72,150,143,18,2,0,16,12,58,5,0,Matches
713,Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,fr Ligue 1,23-204,1997,17.4,7,6,1,4,2,1,13,7.7,12,202,59,29.2,13,71,118,18,3,0,15,3,10,18,1,Matches
714,Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,fr Ligue 1,28-096,1993,4.5,11,8,6,3,2,2,5,40.0,3,66,14,21.2,17,26,23,4,0,0,4,4,15,2,0,Matches
715,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,30-174,1990,28.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,3,1,Matches
716,Nicolás Domínguez\Nicolas-Dominguez,ar ARG,MF,Bologna,it Serie A,22-304,1998,13.9,52,35,30,18,4,11,28,39.3,17,350,92,26.3,147,153,50,31,7,0,24,25,77,21,0,Matches
717,John Donald\John-Donald,es ESP,DF,Elche,es La Liga,20-241,2000,0.6,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
718,Ji Dong-won\Ji-Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,29-335,1991,0.7,2,0,1,0,1,1,1,100.0,0,11,4,36.4,3,4,4,0,0,0,0,0,2,0,0,Matches
719,Anastasios Donis\Anastasios-Donis,gr GRE,MF,Reims,fr Ligue 1,24-242,1996,1.1,1,0,0,1,0,0,1,0.0,1,16,2,12.5,3,7,6,0,0,0,0,0,1,0,0,Matches
720,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,22-062,1999,32.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
721,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,eng Premier League,23-130,1997,17.2,23,14,18,5,0,7,13,53.8,6,115,44,38.3,74,36,5,34,21,0,13,19,42,74,2,Matches
722,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,31-332,1989,9.1,4,4,2,2,0,1,4,25.0,3,89,31,34.8,4,45,40,7,1,0,6,2,6,8,0,Matches
723,Lucas Douath\Lucas-Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,17-266,2003,12.6,29,23,15,12,2,11,25,44.0,14,198,69,34.8,75,101,22,15,0,0,15,19,48,19,1,Matches
724,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,eng Premier League,28-117,1993,23.7,47,34,27,14,6,13,40,32.5,27,456,127,27.9,194,181,81,36,9,0,27,28,75,27,1,Matches
725,Cheick Doucouré\Cheick-Doucoure,ml MLI,MF,Lens,fr Ligue 1,21-110,2000,25.5,74,47,34,36,4,21,58,36.2,37,414,147,35.5,140,220,54,31,5,0,26,46,120,40,0,Matches
726,Fodé Doucouré\Fode-Doucoure,ml MLI,DF,Reims,fr Ligue 1,20-084,2001,3.6,10,1,5,5,0,0,3,0.0,3,63,9,14.3,34,24,5,4,0,0,4,4,14,15,0,Matches
727,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,es La Liga,28-229,1992,0.9,4,3,1,0,3,3,4,75.0,1,33,7,21.2,7,18,8,2,1,0,1,2,6,2,0,Matches
728,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,es La Liga,23-014,1998,7.8,15,8,4,9,2,4,12,33.3,8,102,32,31.4,41,54,7,8,3,0,5,8,23,11,0,Matches
729,Moussa Doumbia\Moussa-Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,26-256,1994,9.3,5,3,2,2,1,1,13,7.7,12,120,27,22.5,35,58,27,14,3,0,11,16,21,2,0,Matches
730,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,fr Ligue 1,24-216,1996,24.3,57,34,33,21,3,16,36,44.4,20,258,77,29.8,113,99,46,45,5,0,40,40,97,58,1,Matches
731,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,30-053,1991,9.6,16,9,6,7,3,6,9,66.7,3,111,44,39.6,38,57,16,20,5,0,15,14,30,30,0,Matches
732,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,23-252,1997,32.5,0,0,0,0,0,0,0,,0,7,2,28.6,7,0,0,0,0,0,0,0,0,0,1,Matches
733,Denis Drăguș\Denis-Dragus,ro ROU,FWMF,Crotone,it Serie A,21-296,1999,1.9,2,2,0,0,2,0,4,0.0,4,43,12,27.9,7,17,19,4,0,0,4,1,3,0,0,Matches
734,Radu Drăgușin\Radu-Dragusin,ro ROU,DF,Juventus,it Serie A,19-084,2002,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,1,0,Matches
735,Mouhamadou Drammeh\Mouhamadou-Drammeh,fr FRA,MF,Reims,fr Ligue 1,21-348,1999,1.9,1,1,0,0,1,0,1,0.0,1,23,8,34.8,9,10,4,1,1,0,0,2,3,7,0,Matches
736,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,27-220,1993,9.5,9,5,3,6,0,3,13,23.1,10,101,22,21.8,19,53,29,7,0,0,7,10,19,3,0,Matches
737,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,de Bundesliga,30-337,1990,12.6,32,22,9,17,6,8,30,26.7,22,264,79,29.9,79,118,67,18,5,0,13,15,47,15,0,Matches
738,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32-039,1989,15.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
739,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,es La Liga,26-049,1995,23.4,32,14,21,10,1,8,15,53.3,7,114,40,35.1,57,54,3,36,19,0,17,28,60,106,1,Matches
740,Léo Duarte\Leo-Duarte,br BRA,DF,Milan,it Serie A,24-285,1996,0.2,1,1,0,1,0,0,0,,0,5,3,60.0,3,2,0,1,0,0,1,0,1,0,0,Matches
741,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,es La Liga,31-329,1989,19.8,20,12,16,4,0,9,23,39.1,14,147,50,34.0,80,61,6,27,18,1,9,24,44,157,1,Matches
742,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,25-192,1995,24.5,52,27,26,21,5,19,40,47.5,21,323,102,31.6,142,138,43,68,6,0,62,37,89,100,0,Matches
743,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,26-226,1994,29.0,43,29,21,17,5,14,40,35.0,26,313,102,32.6,135,113,65,65,12,0,53,22,65,53,2,Matches
744,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,32-103,1989,8.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
745,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,de Bundesliga,26-144,1994,25.2,46,27,16,24,6,11,40,27.5,29,477,119,24.9,82,276,119,28,2,0,26,18,64,19,0,Matches
746,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,es La Liga,22-117,1999,0.7,2,2,2,0,0,1,3,33.3,2,11,5,45.5,8,3,0,1,0,0,1,0,2,6,0,Matches
747,Haris Duljević\Haris-Duljevic,ba BIH,MFFW,Nîmes,fr Ligue 1,27-163,1993,8.5,21,14,7,10,4,4,19,21.1,15,117,33,28.2,22,59,36,4,0,0,4,13,34,2,0,Matches
748,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,29-214,1991,8.9,17,8,10,6,1,7,15,46.7,8,90,20,22.2,57,27,6,20,5,0,15,9,26,58,1,Matches
749,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Fiorentina,it Serie A,28-049,1993,1.8,1,1,0,1,0,0,2,0.0,2,20,5,25.0,4,9,7,2,0,0,2,3,4,4,0,Matches
750,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Cagliari,it Serie A,28-049,1993,8.8,14,11,6,6,2,2,10,20.0,8,131,36,27.5,38,73,20,4,0,0,4,13,27,10,0,Matches
751,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,29-158,1991,30.0,31,18,20,9,2,11,21,52.4,10,173,65,37.6,90,73,10,36,21,1,15,28,59,116,2,Matches
752,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,eng Premier League,23-191,1997,2.0,1,1,1,0,0,1,1,100.0,0,13,7,53.8,8,4,1,4,3,0,1,0,1,7,0,Matches
753,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28-351,1992,15.7,21,16,7,12,2,7,26,26.9,19,225,77,34.2,76,87,62,32,6,0,26,22,43,24,0,Matches
754,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,es La Liga,21-169,1999,0.6,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,1,0,0,1,0,0,0,0,Matches
755,Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,fr Ligue 1,23-290,1997,19.2,34,20,22,12,0,12,27,44.4,15,190,68,35.8,114,64,12,30,14,0,16,16,50,83,1,Matches
756,Paulo Dybala\Paulo-Dybala,ar ARG,FW,Juventus,it Serie A,27-164,1993,9.8,11,8,1,7,3,2,7,28.6,5,144,41,28.5,15,56,73,13,0,0,13,1,12,1,0,Matches
757,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,35-042,1986,16.9,5,5,2,2,1,2,9,22.2,7,139,37,26.6,6,60,73,11,3,0,8,3,8,11,0,Matches
758,Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,20-158,2000,21.0,32,22,13,14,5,11,45,24.4,34,361,80,22.2,80,183,98,19,2,0,17,13,45,11,0,Matches
759,Steeve-Mike Ebongue\Steeve-Mike-Ebongue,fr FRA,MF,Genoa,it Serie A,20-067,2001,0.4,1,1,0,0,1,0,2,0.0,2,14,6,42.9,7,3,4,1,0,0,1,0,1,1,0,Matches
760,Enzo Ebosse\Enzo-Ebosse,fr FRA,DF,Angers,fr Ligue 1,22-048,1999,2.9,6,3,4,2,0,4,7,57.1,3,39,14,35.9,26,10,3,6,2,0,4,1,7,12,0,Matches
761,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,32-286,1988,34.0,54,37,43,11,0,25,37,67.6,12,194,71,36.6,131,58,5,54,35,1,19,75,129,184,2,Matches
762,Simone Edera\Simone-Edera,it ITA,DFMF,Torino,it Serie A,24-109,1997,0.6,3,0,2,1,0,3,4,75.0,1,10,3,30.0,6,4,0,0,0,0,0,0,3,1,0,Matches
763,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,27-254,1993,32.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,1,Matches
764,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,eng Premier League,23-070,1998,1.3,3,0,1,1,1,0,1,0.0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,Matches
765,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,28-190,1992,24.2,38,25,28,9,1,12,26,46.2,14,200,63,31.5,122,73,5,44,24,1,20,30,68,122,1,Matches
766,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22-355,1998,0.4,0,0,0,0,0,0,1,0.0,1,15,5,33.3,3,5,7,0,0,0,0,0,0,2,0,Matches
767,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,24-141,1996,29.7,53,38,19,26,8,14,40,35.0,26,455,149,32.7,170,221,64,53,3,0,50,39,92,43,0,Matches
768,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,de Bundesliga,18-251,2002,0.2,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
769,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,25-338,1995,11.7,32,19,22,9,1,12,24,50.0,12,177,56,31.6,75,78,24,22,3,0,19,15,47,46,1,Matches
770,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,31-274,1989,22.2,54,43,19,29,6,16,56,28.6,40,510,161,31.6,165,272,73,51,13,0,38,32,86,40,0,Matches
771,Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18-312,2002,1.0,1,1,0,0,1,1,2,50.0,1,22,9,40.9,2,7,13,0,0,0,0,0,1,0,0,Matches
772,Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,25-142,1995,17.0,30,20,13,11,6,11,28,39.3,17,306,73,23.9,80,135,91,32,1,0,31,16,46,18,0,Matches
773,Elif Elmas\Elif-Elmas,mk MKD,MFFW,Napoli,it Serie A,21-216,1999,7.8,15,9,5,6,4,7,17,41.2,10,130,35,26.9,30,62,38,11,1,0,10,4,19,3,0,Matches
774,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,33-231,1987,7.8,14,10,8,3,3,5,8,62.5,3,60,22,36.7,30,22,8,11,2,0,9,22,36,25,0,Matches
775,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,28-291,1992,13.2,15,10,8,7,0,5,11,45.5,6,150,47,31.3,54,71,25,14,4,0,10,17,32,16,1,Matches
776,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,27-031,1994,16.2,23,14,17,4,2,9,16,56.3,7,109,39,35.8,59,44,6,15,4,0,11,3,26,84,0,Matches
777,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24-210,1996,25.2,52,25,35,16,1,21,33,63.6,12,191,76,39.8,116,73,2,51,17,0,34,56,108,156,0,Matches
778,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,27-176,1993,5.2,7,3,5,2,0,3,4,75.0,1,28,14,50.0,12,15,1,5,1,0,4,2,9,33,1,Matches
779,Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18-116,2003,5.0,3,2,2,1,0,1,4,25.0,3,73,19,26.0,5,30,38,3,0,0,3,2,5,3,0,Matches
780,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24-073,1997,14.7,20,13,3,14,3,4,6,66.7,2,252,60,23.8,16,138,98,13,1,0,12,6,26,6,0,Matches
781,Emerson\Emerson,br BRA,DF,Betis,es La Liga,22-104,1999,28.2,79,49,52,21,6,34,67,50.7,33,457,139,30.4,222,163,72,51,5,0,46,57,136,99,1,Matches
782,Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,Atalanta,it Serie A,19-219,2001,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
