,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-213,1999,7.7,26,15,11,11,4,12,23,52.2,11,176,46,26.1,84,62,30,16,3,0,13,20,46,23,0,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-165,1998,12.9,39,22,10,20,9,7,25,28.0,18,307,85,27.7,51,135,121,25,0,0,25,4,43,6,0,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-029,1996,31.0,50,33,37,13,0,19,35,54.3,16,233,90,38.6,137,87,9,37,20,0,17,33,83,160,1,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,32-330,1988,4.2,1,0,0,0,1,1,8,12.5,7,54,14,25.9,6,17,31,4,0,0,4,4,5,1,0,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28-002,1993,22.8,77,42,35,27,15,33,52,63.5,19,371,136,36.7,135,151,85,36,2,0,34,32,109,52,1,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-030,2002,2.4,2,1,1,1,0,2,3,66.7,1,40,12,30.0,14,25,1,5,0,0,5,4,6,1,0,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-300,1999,9.0,25,17,13,10,2,5,32,15.6,27,222,51,23.0,78,113,31,12,2,0,10,4,29,9,0,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-036,2000,1.3,2,2,0,2,0,1,2,50.0,1,20,1,5.0,2,7,11,0,0,0,0,1,3,0,0,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-039,1994,21.1,49,29,17,30,2,8,35,22.9,27,343,109,31.8,107,196,40,24,5,0,19,47,96,40,1,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-039,1994,0.4,1,0,1,0,0,0,0,,0,10,1,10.0,6,4,0,0,0,0,0,2,3,1,0,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-211,1995,12.6,27,17,21,5,1,11,20,55.0,9,150,50,33.3,93,56,1,17,3,0,14,13,40,93,2,Matches
