 
,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-213,1999,7.7,1,4,1,25.0,0.52,0.13,0.25,1.00,19.7,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-165,1998,12.9,1,17,4,23.5,1.32,0.31,0.06,0.25,17.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-029,1996,31.0,3,27,5,18.5,0.87,0.16,0.11,0.60,8.8,0,0,0,2.7,2.7,0.10,+0.3,+0.3,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,32-330,1988,4.2,1,8,3,37.5,1.93,0.72,0.00,0.00,12.4,0,1,1,1.7,0.9,0.12,-0.7,-0.9,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28-002,1993,22.8,1,8,3,37.5,0.35,0.13,0.13,0.33,9.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-030,2002,2.4,0,5,1,20.0,2.05,0.41,0.00,0.00,22.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-300,1999,9.0,2,9,5,55.6,1.00,0.55,0.22,0.40,22.5,0,0,0,1.4,1.4,0.16,+0.6,+0.6,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-036,2000,1.3,0,1,0,0.0,0.76,0.00,0.00,,4.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-039,1994,21.1,2,29,6,20.7,1.37,0.28,0.07,0.33,20.1,0,0,0,2.3,1.9,0.07,-0.3,+0.1,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-039,1994,0.4,0,2,1,50.0,5.00,2.50,0.00,0.00,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
