 
,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
752,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,eng Premier League,23-191,1997,2.0,1,3,1,33.3,1.50,0.50,0.33,1.00,8.4,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
753,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28-351,1992,15.7,1,20,6,30.0,1.27,0.38,0.05,0.17,19.5,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
754,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,es La Liga,21-169,1999,0.6,0,1,0,0.0,1.64,0.00,0.00,,1.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
755,Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,fr Ligue 1,23-290,1997,19.2,1,9,1,11.1,0.47,0.05,0.11,1.00,12.8,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
756,Paulo Dybala\Paulo-Dybala,ar ARG,FW,Juventus,it Serie A,27-164,1993,9.8,3,37,9,24.3,3.76,0.92,0.08,0.33,18.8,5,0,0,3.2,3.2,0.09,-0.2,-0.2,Matches
757,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,35-042,1986,16.9,7,58,22,37.9,3.42,1.30,0.12,0.32,11.6,0,0,0,11.3,11.3,0.19,-4.3,-4.3,Matches
758,Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,20-158,2000,21.0,1,43,11,25.6,2.05,0.52,0.02,0.09,17.5,0,0,0,3.4,3.4,0.08,-2.4,-2.4,Matches
759,Steeve-Mike Ebongue\Steeve-Mike-Ebongue,fr FRA,MF,Genoa,it Serie A,20-067,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
760,Enzo Ebosse\Enzo-Ebosse,fr FRA,DF,Angers,fr Ligue 1,22-048,1999,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
761,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,32-286,1988,34.0,2,28,6,21.4,0.82,0.18,0.07,0.33,9.4,0,0,0,1.4,1.4,0.05,+0.6,+0.6,Matches
762,Simone Edera\Simone-Edera,it ITA,DFMF,Torino,it Serie A,24-109,1997,0.6,0,3,1,33.3,5.19,1.73,0.00,0.00,27.5,2,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
763,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,27-254,1993,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
764,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,eng Premier League,23-070,1998,1.3,0,2,1,50.0,1.53,0.76,0.00,0.00,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
765,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,28-190,1992,24.2,0,9,2,22.2,0.37,0.08,0.00,0.00,10.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
766,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22-355,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
767,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,24-141,1996,29.7,2,22,5,22.7,0.74,0.17,0.09,0.40,23.3,0,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
768,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,de Bundesliga,18-251,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
769,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,25-338,1995,11.7,0,8,1,12.5,0.68,0.09,0.00,0.00,21.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
770,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,31-274,1989,22.2,2,13,3,23.1,0.59,0.14,0.15,0.67,17.9,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
771,Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18-312,2002,1.0,0,3,1,33.3,3.07,1.02,0.00,0.00,14.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
772,Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,25-142,1995,17.0,4,21,9,42.9,1.23,0.53,0.19,0.44,16.4,6,0,0,3.5,3.5,0.17,+0.5,+0.5,Matches
773,Elif Elmas\Elif-Elmas,mk MKD,MFFW,Napoli,it Serie A,21-216,1999,7.8,2,13,6,46.2,1.67,0.77,0.15,0.33,16.5,0,0,0,1.8,1.8,0.14,+0.2,+0.2,Matches
774,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,33-231,1987,7.8,0,7,1,14.3,0.90,0.13,0.00,0.00,11.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
775,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,28-291,1992,13.2,0,5,0,0.0,0.38,0.00,0.00,,19.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
776,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,27-031,1994,16.2,0,4,0,0.0,0.25,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
777,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24-210,1996,25.2,3,11,5,45.5,0.44,0.20,0.27,0.60,9.1,0,0,0,1.8,1.8,0.17,+1.2,+1.2,Matches
778,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,27-176,1993,5.2,1,3,2,66.7,0.58,0.38,0.33,0.50,7.9,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
779,Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18-116,2003,5.0,3,11,6,54.5,2.21,1.21,0.27,0.50,8.8,0,0,0,2.0,2.0,0.18,+1.0,+1.0,Matches
780,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24-073,1997,14.7,5,40,18,45.0,2.71,1.22,0.13,0.28,12.8,0,0,0,6.9,6.9,0.18,-1.9,-1.9,Matches
781,Emerson\Emerson,br BRA,DF,Betis,es La Liga,22-104,1999,28.2,1,10,2,20.0,0.35,0.07,0.10,0.50,18.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
782,Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,Atalanta,it Serie A,19-219,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
783,Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,fr Ligue 1,29-144,1991,3.6,2,7,5,71.4,1.93,1.38,0.29,0.40,9.4,0,0,0,1.3,1.3,0.19,+0.7,+0.7,Matches
784,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,27-049,1994,2.4,0,1,0,0.0,0.41,0.00,0.00,,7.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
785,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23-331,1997,22.0,17,65,24,36.9,2.95,1.09,0.26,0.71,11.9,0,0,0,12.9,12.9,0.20,+4.1,+4.1,Matches
786,Keita Endo\Keita-Endo,jp JPN,FWMF,Union Berlin,de Bundesliga,23-157,1997,4.3,1,9,4,44.4,2.11,0.94,0.11,0.25,17.0,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
787,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,de Bundesliga,28-078,1993,30.8,2,26,13,50.0,0.84,0.42,0.08,0.15,18.4,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches
788,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,31-061,1990,11.2,2,28,8,28.6,2.51,0.72,0.07,0.25,9.6,0,0,1,4.1,3.4,0.12,-2.1,-1.4,Matches
789,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,29-073,1992,13.1,1,25,7,28.0,1.91,0.53,0.04,0.14,21.5,4,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
790,Martin Erlic\Martin-Erlic,hr CRO,DF,Spezia,it Serie A,23-094,1998,18.8,2,8,2,25.0,0.43,0.11,0.25,1.00,11.5,0,0,0,1.2,1.2,0.15,+0.8,+0.8,Matches
791,Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,de Bundesliga,26-097,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
792,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Lazio,it Serie A,28-032,1993,7.4,0,5,2,40.0,0.68,0.27,0.00,0.00,22.3,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
793,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,es La Liga,23-035,1998,8.6,1,10,1,10.0,1.16,0.12,0.10,1.00,13.4,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
794,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,31-238,1989,4.8,1,5,1,20.0,1.04,0.21,0.20,1.00,18.7,1,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
795,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,es La Liga,29-113,1992,27.2,0,9,4,44.4,0.33,0.15,0.00,0.00,23.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
796,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,es La Liga,22-116,1999,2.6,0,1,0,0.0,0.39,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
797,Nahuel Estévez\Nahuel-Estevez,ar ARG,MF,Spezia,it Serie A,25-165,1995,16.4,0,19,6,31.6,1.16,0.37,0.00,0.00,18.3,1,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
798,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,es La Liga,23-097,1998,11.5,0,10,4,40.0,0.87,0.35,0.00,0.00,17.9,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
799,Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,fr Ligue 1,23-344,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
800,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,33-179,1987,9.8,0,4,0,0.0,0.41,0.00,0.00,,8.5,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
801,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,33-115,1988,26.5,1,7,2,28.6,0.26,0.08,0.14,0.50,7.9,0,0,0,1.5,1.5,0.22,-0.5,-0.5,Matches
802,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,24-270,1996,23.8,0,35,8,22.9,1.47,0.34,0.00,0.00,23.6,0,0,2,2.8,1.3,0.04,-2.8,-1.3,Matches
803,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,29-034,1992,7.3,2,11,5,45.5,1.50,0.68,0.18,0.40,15.4,0,0,0,2.0,2.0,0.19,0.0,0.0,Matches
804,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,eng Premier League,22-303,1998,24.4,3,26,11,42.3,1.06,0.45,0.12,0.27,21.3,3,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
805,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,36-010,1985,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
806,Fabinho\Fabinho,br BRA,DFMF,Liverpool,eng Premier League,27-187,1993,23.5,0,6,0,0.0,0.26,0.00,0.00,,20.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
807,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,30-293,1990,16.7,0,7,1,14.3,0.42,0.06,0.00,0.00,21.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
808,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,33-359,1987,8.9,2,8,2,25.0,0.90,0.22,0.00,0.00,18.5,1,2,2,3.1,1.5,0.19,-1.1,-1.5,Matches
809,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,20-103,2001,0.7,0,1,1,100.0,1.43,1.43,0.00,0.00,25.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
810,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,fr Ligue 1,20-103,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
811,Wout Faes\Wout-Faes,be BEL,DF,Reims,fr Ligue 1,23-025,1998,29.2,1,7,1,14.3,0.24,0.03,0.14,1.00,12.0,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
812,Nicolò Fagioli\Nicolo-Fagioli,it ITA,MF,Juventus,it Serie A,20-075,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
813,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,32-213,1988,16.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
814,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22-288,1998,28.3,5,52,19,36.5,1.84,0.67,0.08,0.21,20.6,7,1,1,5.3,4.6,0.09,-0.3,-0.6,Matches
815,Fali\Fali,es ESP,DFMF,Cádiz,es La Liga,27-259,1993,25.3,0,11,2,18.2,0.43,0.08,0.00,0.00,11.8,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
816,Iago Falque\Iago-Falque,es ESP,MFFW,Benevento,it Serie A,31-114,1990,3.4,1,10,1,10.0,2.95,0.30,0.10,1.00,20.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
817,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,19-108,2002,2.3,0,2,0,0.0,0.87,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
818,Paolo Faragò\Paolo-Farago,it ITA,DFMF,Cagliari,it Serie A,28-075,1993,4.1,0,3,0,0.0,0.73,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
819,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,29-185,1991,27.8,2,29,6,20.7,1.04,0.22,0.07,0.33,12.5,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
820,Mohamed Fares\Mohamed-Fares,dz ALG,DF,Lazio,it Serie A,25-072,1996,9.7,0,10,4,40.0,1.03,0.41,0.00,0.00,16.9,0,0,0,0.8,0.5,0.05,-0.8,-0.5,Matches
821,Diego Farias\Diego-Farias,br BRA,FW,Spezia,it Serie A,30-353,1990,15.2,4,26,10,38.5,1.71,0.66,0.15,0.40,16.1,1,0,0,2.4,2.4,0.09,+1.6,+1.6,Matches
822,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,23-072,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
823,Noah Fatar\Noah-Fatar,fr FRA,FWMF,Angers,fr Ligue 1,19-072,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
824,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,es La Liga,18-179,2002,4.8,4,14,7,50.0,2.92,1.46,0.29,0.57,15.6,0,0,0,1.8,1.8,0.13,+2.2,+2.2,Matches
825,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,34-104,1987,8.6,0,5,1,20.0,0.58,0.12,0.00,0.00,15.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
826,Andrea Favilli\Andrea-Favilli,it ITA,FW,Hellas Verona,it Serie A,23-346,1997,3.8,2,12,4,33.3,3.19,1.06,0.17,0.50,12.5,0,0,0,1.8,1.8,0.15,+0.2,+0.2,Matches
827,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,34-042,1987,4.5,1,3,2,66.7,0.67,0.44,0.33,0.50,10.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
828,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,27-284,1993,25.3,4,79,21,26.6,3.13,0.83,0.04,0.14,21.4,8,1,3,7.2,4.9,0.06,-3.2,-1.9,Matches
829,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,31-347,1989,18.8,0,9,2,22.2,0.48,0.11,0.00,0.00,9.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
830,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,24-037,1997,8.3,0,3,0,0.0,0.36,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
831,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,23-231,1997,29.0,1,13,3,23.1,0.45,0.10,0.08,0.33,11.2,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
832,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,es La Liga,21-169,1999,16.0,7,34,13,38.2,2.12,0.81,0.18,0.46,19.1,2,1,2,4.9,3.4,0.10,+2.1,+2.6,Matches
833,Zinedine Ferhat\Zinedine-Ferhat,dz ALG,MFFW,Nîmes,fr Ligue 1,28-058,1993,29.9,5,57,19,33.3,1.90,0.63,0.07,0.21,20.4,5,1,1,4.4,3.6,0.06,+0.6,+0.4,Matches
834,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26-232,1994,31.3,16,95,35,36.8,3.03,1.12,0.08,0.23,22.1,13,8,9,13.8,7.0,0.07,+2.2,+1.0,Matches
835,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,25-013,1996,8.6,0,11,3,27.3,1.28,0.35,0.00,0.00,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
836,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,29-360,1991,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
837,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,es La Liga,28-195,1992,21.6,4,8,2,25.0,0.37,0.09,0.25,1.00,18.9,0,2,2,3.2,1.7,0.21,+0.8,+0.3,Matches
838,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,23-015,1998,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
839,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,34-132,1986,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
840,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,es La Liga,35-018,1986,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
841,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,es La Liga,24-341,1996,1.6,0,2,1,50.0,1.26,0.63,0.00,0.00,8.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
842,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,es La Liga,24-341,1996,4.1,1,6,4,66.7,1.45,0.97,0.17,0.25,14.1,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches
843,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,32-066,1989,18.3,0,2,2,100.0,0.11,0.11,0.00,0.00,10.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
844,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,es La Liga,24-332,1996,20.0,1,9,3,33.3,0.45,0.15,0.11,0.33,8.2,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
845,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,35-359,1985,11.1,0,14,3,21.4,1.26,0.27,0.00,0.00,21.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
846,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,33-277,1987,24.9,2,4,3,75.0,0.16,0.12,0.50,0.67,16.2,0,0,0,0.5,0.5,0.14,+1.5,+1.5,Matches
847,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,26-301,1994,8.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
848,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,es La Liga,33-027,1988,23.5,2,23,12,52.2,0.98,0.51,0.09,0.17,19.4,1,0,0,1.7,1.7,0.07,+0.3,+0.3,Matches
849,Salvador Ferrer\Salvador-Ferrer,es ESP,DF,Spezia,it Serie A,23-097,1998,11.2,0,2,0,0.0,0.18,0.00,0.00,,,,0,0,,,,,,Matches
850,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,es La Liga,30-045,1991,3.2,1,7,2,28.6,2.22,0.63,0.14,0.50,11.2,0,0,0,1.4,1.4,0.21,-0.4,-0.4,Matches
851,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29-047,1992,28.0,0,4,2,50.0,0.14,0.07,0.00,0.00,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
852,Fidel\Fidel,es ESP,MFDF,Elche,es La Liga,31-183,1989,22.1,5,12,6,50.0,0.54,0.27,0.25,0.50,22.2,3,2,2,2.9,1.3,0.11,+2.1,+1.7,Matches
853,Sam Field\Sam-Field,eng ENG,MF,West Brom,eng Premier League,22-355,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
854,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32-086,1989,5.7,0,11,6,54.5,1.93,1.05,0.00,0.00,15.5,0,0,2,3.1,1.6,0.15,-3.1,-1.6,Matches
855,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,29-208,1991,27.5,6,73,28,38.4,2.65,1.02,0.08,0.21,13.8,0,0,0,11.3,11.3,0.16,-5.3,-5.3,Matches
856,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,24-249,1996,2.7,1,1,1,100.0,0.37,0.37,1.00,1.00,3.0,0,0,0,0.8,0.8,0.83,+0.2,+0.2,Matches
857,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,29-247,1991,23.6,0,15,4,26.7,0.64,0.17,0.00,0.00,22.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
858,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Paris S-G,fr Ligue 1,30-048,1991,17.0,2,21,8,38.1,1.24,0.47,0.10,0.25,18.6,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
859,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,es La Liga,22-220,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
860,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,eng Premier League,20-335,2000,16.1,7,40,18,45.0,2.48,1.12,0.18,0.39,14.8,0,0,0,4.6,4.6,0.12,+2.4,+2.4,Matches
861,Mamadou Fofana\Mamadou-Fofana,ml MLI,MFDF,Metz,fr Ligue 1,23-097,1998,11.4,0,3,0,0.0,0.26,0.00,0.00,,12.5,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
862,Seko Fofana\Seko-Fofana,ci CIV,MF,Lens,fr Ligue 1,25-356,1995,21.7,2,33,9,27.3,1.52,0.41,0.06,0.22,20.4,0,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches
863,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,eng Premier League,20-132,2000,21.4,0,9,0,0.0,0.42,0.00,0.00,,8.9,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
864,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,20-132,2000,3.5,0,2,0,0.0,0.57,0.00,0.00,,8.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
865,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,fr Ligue 1,22-108,1999,28.3,0,33,5,15.2,1.17,0.18,0.00,0.00,23.7,1,0,0,1.9,1.9,0.06,-1.9,-1.9,Matches
866,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,26-215,1994,33.0,0,7,3,42.9,0.21,0.09,0.00,0.00,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
867,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,es La Liga,31-206,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
868,Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,23-092,1998,21.8,0,20,5,25.0,0.92,0.23,0.00,0.00,15.9,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
869,Thomas Fontaine\Thomas-Fontaine,mg MAD,DF,Lorient,fr Ligue 1,29-355,1991,3.6,0,2,1,50.0,0.56,0.28,0.00,0.00,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
870,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,es La Liga,21-076,2000,6.7,0,5,3,60.0,0.74,0.44,0.00,0.00,11.8,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
871,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,37-127,1983,32.4,3,22,9,40.9,0.68,0.28,0.14,0.33,10.8,0,0,0,0.9,0.9,0.04,+2.1,+2.1,Matches
872,Fernando Forestieri\Fernando-Forestieri,it ITA,FWMF,Udinese,it Serie A,31-103,1990,4.7,1,9,2,22.2,1.91,0.42,0.11,0.50,16.9,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
873,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,eng Premier League,25-065,1996,23.6,3,33,10,30.3,1.40,0.42,0.09,0.30,15.9,0,0,0,4.3,4.3,0.13,-1.3,-1.3,Matches
874,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,de Bundesliga,29-187,1991,14.9,7,31,13,41.9,2.09,0.88,0.16,0.38,17.6,2,2,3,5.7,3.4,0.11,+1.3,+1.6,Matches
