,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-213,1999,7.7,284,219,65,1,0,45,4,10,0,0,0,0,165,56,63,45,157,14,64,0,205,0,5,16,11,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-165,1998,12.9,278,266,12,0,0,85,9,7,2,0,0,0,199,46,33,225,33,5,2,2,201,1,11,6,18,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-029,1996,31.0,2356,2292,64,63,1,137,63,0,0,0,0,0,1983,139,234,1996,237,66,1,5,2145,1,20,14,7,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,32-330,1988,4.2,100,93,7,0,0,22,1,1,0,0,0,0,84,12,4,9,87,2,0,1,84,0,0,1,5,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28-002,1993,22.8,1494,1280,214,30,2,121,49,97,18,8,8,1,947,236,311,32,1208,52,166,5,1230,5,15,18,28,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-030,2002,2.4,103,101,2,2,0,29,1,1,0,0,0,0,90,6,7,9,89,4,0,0,94,0,0,1,2,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-300,1999,9.0,298,292,6,6,0,28,9,4,0,0,0,0,241,24,33,231,49,12,0,2,233,1,14,8,11,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-036,2000,1.3,11,9,2,0,0,3,0,0,0,0,0,0,7,3,1,1,7,1,0,1,10,0,0,0,0,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-039,1994,21.1,746,734,12,9,0,109,10,5,1,1,0,0,565,84,97,564,118,36,2,3,627,2,14,16,14,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-039,1994,0.4,10,10,0,0,0,1,0,0,0,0,0,0,9,0,1,7,3,0,0,0,8,0,1,0,0,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-211,1995,12.6,546,532,14,13,2,73,6,1,0,0,0,0,410,50,86,87,406,31,1,4,455,4,15,6,12,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-202,1996,27.9,1627,1362,265,28,0,116,34,40,0,0,0,0,955,249,423,265,1028,82,237,4,1258,1,23,41,43,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-326,2001,11.8,560,466,94,3,0,49,10,20,6,1,2,3,364,110,86,408,44,16,85,1,468,1,2,6,18,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-326,2001,2.1,149,129,20,0,0,11,2,4,0,0,0,0,116,15,18,117,8,2,20,0,136,0,0,1,1,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-170,1993,25.9,838,782,56,11,1,99,25,5,0,0,0,0,508,93,237,45,643,62,45,2,617,5,24,27,11,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-062,1994,29.0,806,753,53,0,1,254,39,30,0,0,0,0,397,239,170,422,160,82,6,17,570,1,25,17,38,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-283,1995,23.4,1925,1870,55,42,1,147,65,0,0,0,0,0,1659,119,147,440,1379,67,13,3,1786,4,17,20,13,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-047,1993,6.4,232,160,72,7,0,27,6,12,0,0,0,0,92,66,74,5,136,16,65,1,160,2,9,7,6,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-113,2001,1.6,35,33,2,0,0,11,0,1,0,0,0,0,21,6,8,3,24,3,0,1,28,1,2,2,1,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-069,1995,5.9,507,486,21,11,0,34,3,0,0,0,0,0,437,24,46,384,75,17,10,2,472,0,2,4,4,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-129,1997,4.2,183,182,1,1,0,20,3,2,0,0,0,0,150,16,17,21,151,5,0,1,168,0,1,3,0,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-199,1992,9.5,283,270,13,2,2,35,6,1,0,0,0,0,203,51,29,48,212,9,9,2,229,1,7,8,12,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-009,1995,11.4,587,530,57,28,0,72,9,6,0,0,0,0,437,49,101,79,448,21,29,0,474,1,20,6,10,Matches
