,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
578,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Fiorentina,it Serie A,23-115,1998,2.2,56,53,3,0,0,13,1,2,0,0,0,0,37,13,6,9,41,1,0,1,44,0,4,0,2,Matches
579,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,es La Liga,23-115,1998,1.2,20,18,2,0,0,4,2,1,0,0,0,0,12,3,5,0,17,2,1,0,15,0,0,0,0,Matches
580,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Parma,it Serie A,26-090,1995,4.6,289,265,24,11,0,40,13,3,13,2,9,1,219,30,40,34,246,7,0,1,243,1,3,5,3,Matches
581,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,30-349,1990,22.1,1117,1057,60,42,0,149,27,2,0,0,0,0,778,109,230,913,109,57,13,1,940,1,18,25,11,Matches
582,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Genoa,it Serie A,21-360,1999,13.0,576,461,115,7,0,51,3,17,0,0,0,0,317,134,125,355,88,20,108,1,429,2,7,16,19,Matches
583,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,32-231,1988,4.8,288,261,27,11,0,26,5,4,0,0,0,0,220,41,27,61,196,5,16,3,253,2,0,10,4,Matches
584,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,32-346,1988,26.6,1816,1782,34,33,4,119,52,6,0,0,0,0,1422,119,275,38,1658,79,1,3,1618,0,22,13,14,Matches
585,Bryan Dabo\Bryan-Dabo,bf BFA,MF,Benevento,it Serie A,29-069,1992,9.0,380,367,13,8,0,85,7,10,1,0,1,0,240,64,76,71,241,26,3,2,277,1,10,10,13,Matches
586,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,28-349,1992,11.1,345,329,16,3,2,88,1,8,1,1,0,0,223,77,45,23,283,12,5,6,253,0,3,8,17,Matches
587,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22-231,1998,12.1,768,680,88,10,0,53,4,22,0,0,0,0,608,107,53,83,596,9,78,1,680,0,8,13,20,Matches
588,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,23-032,1998,1.0,23,16,7,2,0,1,0,0,0,0,0,0,16,1,6,6,7,0,0,8,17,0,0,0,0,Matches
589,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,25-117,1996,11.8,769,759,10,10,3,127,24,7,0,0,0,0,628,61,80,90,652,19,0,1,661,1,10,13,17,Matches
590,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,de Bundesliga,20-016,2001,0.4,13,13,0,0,0,1,0,0,0,0,0,0,10,3,0,1,11,0,0,0,11,0,0,0,1,Matches
591,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,eng Premier League,30-009,1991,32.9,1937,1748,189,18,2,252,45,47,1,1,0,0,1321,349,267,340,1340,60,170,4,1601,6,38,41,43,Matches
592,Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,it Serie A,22-041,1999,10.3,517,420,97,7,1,56,18,22,2,0,0,0,288,83,146,51,344,23,88,0,381,2,11,19,16,Matches
593,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20-299,2000,18.0,674,631,43,6,2,137,21,30,23,14,5,0,450,102,122,86,527,24,10,8,473,2,10,24,29,Matches
594,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,20-001,2001,14.9,971,918,53,20,0,72,24,2,0,0,0,0,776,81,114,89,809,31,33,0,850,0,9,21,9,Matches
595,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29-287,1991,28.7,2267,2090,177,36,3,202,38,25,2,1,0,0,1724,285,258,287,1775,39,139,11,2004,5,27,46,31,Matches
596,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,34-073,1987,13.0,554,528,26,24,1,54,6,0,0,0,0,0,363,62,129,62,418,43,2,4,469,0,12,7,6,Matches
597,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,de Bundesliga,20-125,2000,0.8,35,32,3,0,1,6,1,1,2,2,0,0,27,2,6,5,30,0,0,0,28,0,0,1,1,Matches
598,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,37-192,1983,8.6,695,682,13,12,1,72,22,0,0,0,0,0,566,55,74,551,112,14,1,4,630,1,8,1,3,Matches
599,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,22-062,1999,1.2,39,39,0,0,0,6,0,0,0,0,0,0,20,8,11,11,25,1,0,1,25,2,0,0,5,Matches
600,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,19-075,2002,6.1,326,297,29,17,2,21,20,6,11,8,3,0,214,26,86,282,33,8,1,0,261,1,3,5,2,Matches
601,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30-263,1990,18.2,873,792,81,40,3,125,41,42,21,5,9,3,507,139,227,193,610,29,18,8,631,4,15,16,34,Matches
602,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-202,1990,25.0,726,402,324,104,0,25,14,0,0,0,0,0,175,24,527,32,548,1,0,88,364,8,18,7,4,Matches
603,Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,it Serie A,31-147,1989,10.8,439,348,91,7,0,61,4,24,0,0,0,0,261,109,69,79,255,8,84,1,351,4,6,10,14,Matches
604,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,31-147,1989,2.3,100,80,20,2,0,8,1,0,0,0,0,0,59,20,21,14,65,2,18,0,78,1,2,3,5,Matches
605,Jonathan David\Jonathan-David,ca CAN,FW,Lille,fr Ligue 1,21-104,2000,22.6,511,490,21,0,0,108,3,7,1,0,0,0,370,92,49,109,342,29,7,4,396,1,3,19,27,Matches
606,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20-177,2000,16.6,1280,1098,182,31,0,137,11,25,0,0,0,0,986,203,91,887,209,19,151,2,1136,1,14,26,31,Matches
607,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,28-004,1993,15.0,783,637,146,12,1,57,8,24,1,1,0,0,452,170,161,544,64,27,133,0,610,1,8,14,30,Matches
608,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,22-302,1998,13.7,620,609,11,6,2,100,13,5,0,0,0,0,467,68,85,79,489,42,4,2,517,1,10,15,22,Matches
609,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,eng Premier League,23-074,1998,1.8,51,51,0,0,0,24,0,4,0,0,0,0,33,10,8,35,4,1,0,2,37,0,1,1,4,Matches
610,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,eng Premier League,21-106,2000,0.4,19,19,0,0,0,1,1,0,0,0,0,0,15,3,1,18,0,1,0,0,16,0,0,1,0,Matches
611,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25-343,1995,18.0,770,727,43,31,0,81,13,5,0,0,0,0,551,81,138,231,436,60,12,2,658,3,13,8,12,Matches
612,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,eng Premier League,30-357,1990,16.4,532,510,22,20,0,57,26,0,0,0,0,0,349,52,131,29,452,32,1,1,428,1,16,10,3,Matches
613,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,29-304,1991,21.2,1343,1211,132,41,19,147,61,62,82,24,29,9,980,136,227,149,1150,27,6,4,1017,9,28,45,68,Matches
614,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,34-054,1987,8.9,360,343,17,16,0,39,2,1,0,0,0,0,254,39,67,38,272,31,1,1,311,1,7,0,2,Matches
615,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,26-339,1994,30.8,1779,1545,234,128,9,259,108,101,96,29,49,4,1122,217,440,37,1704,16,10,6,1286,15,34,62,65,Matches
616,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,28-190,1992,0.3,12,12,0,0,0,3,0,1,0,0,0,0,8,3,1,3,8,1,0,0,9,0,0,0,1,Matches
617,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,fr Ligue 1,28-190,1992,14.1,821,704,117,11,1,86,13,23,2,0,1,0,555,141,125,168,495,43,104,1,685,1,13,16,25,Matches
618,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,it Serie A,32-340,1988,21.1,1126,919,207,26,0,115,14,28,0,0,0,0,592,210,324,91,758,65,181,2,855,1,22,27,26,Matches
619,Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,fr Ligue 1,22-327,1998,4.5,304,263,41,0,0,21,4,9,0,0,0,0,200,41,63,208,45,7,41,0,241,2,3,10,10,Matches
620,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,32-123,1988,18.3,957,916,41,30,0,114,67,20,1,1,0,0,627,148,182,122,740,51,10,6,760,4,16,20,22,Matches
621,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35-274,1985,20.5,1137,861,276,30,0,121,45,58,0,0,0,0,500,283,354,30,744,82,246,5,843,3,25,20,48,Matches
622,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29-315,1991,12.3,352,338,14,3,0,72,2,7,0,0,0,0,286,39,27,302,32,10,0,3,303,0,4,2,8,Matches
623,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,25-270,1995,4.0,165,155,10,4,0,29,15,3,5,0,4,0,108,20,37,15,139,7,1,0,127,0,3,1,6,Matches
624,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,25-270,1995,3.2,99,99,0,0,0,21,3,3,0,0,0,0,75,10,14,7,83,8,0,0,84,0,1,2,1,Matches
625,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,25-030,1996,6.5,340,317,23,7,1,61,13,22,9,4,4,0,228,61,51,249,66,13,7,0,244,0,3,15,20,Matches
626,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30-315,1990,0.1,7,6,1,1,0,0,0,0,0,0,0,0,5,2,0,0,6,1,0,0,4,0,0,1,0,Matches
627,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,29-035,1992,17.8,712,587,125,8,0,94,16,62,0,0,0,0,396,155,161,334,232,21,117,1,519,2,14,21,26,Matches
628,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,29-237,1991,12.9,747,729,18,15,0,97,19,7,0,0,0,0,533,83,131,566,127,29,2,7,624,2,15,17,13,Matches
629,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,18-079,2003,0.4,7,3,4,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,5,0,0,0,0,Matches
630,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,35-039,1986,10.1,520,391,129,8,0,51,5,27,0,0,0,0,260,132,128,60,321,13,121,1,397,2,7,21,14,Matches
631,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,27-077,1994,2.9,143,119,24,8,0,16,6,0,0,0,0,0,83,29,31,92,18,11,16,1,110,0,3,2,4,Matches
632,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,29-201,1991,23.7,763,706,57,4,4,193,22,75,2,0,0,0,301,211,251,21,506,83,6,67,484,1,18,21,48,Matches
633,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,31-158,1989,2.7,216,207,9,1,0,18,2,3,0,0,0,0,170,18,28,135,70,3,8,0,192,0,2,2,4,Matches
634,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,es La Liga,24-290,1996,1.0,30,29,1,0,0,4,0,1,0,0,0,0,17,8,5,0,22,3,0,2,19,0,0,2,1,Matches
635,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24-290,1996,7.5,146,137,9,1,2,38,1,2,1,0,0,1,101,28,17,24,100,7,0,7,104,0,1,5,5,Matches
636,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,23-348,1997,16.7,864,821,43,6,5,117,22,43,24,6,3,4,705,89,70,434,401,8,11,6,714,1,15,22,34,Matches
637,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,23-054,1998,10.2,631,609,22,16,0,34,12,0,0,0,0,0,538,35,58,80,503,29,6,0,587,0,6,3,3,Matches
638,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27-299,1993,16.6,1040,935,105,40,0,158,59,25,50,18,18,6,665,136,239,820,157,33,14,5,820,9,15,23,23,Matches
639,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,23-034,1998,14.2,231,220,11,0,3,77,2,10,0,0,0,0,134,57,40,13,165,16,1,6,131,2,4,8,16,Matches
640,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,29-158,1991,15.6,1108,1084,24,23,4,130,23,6,0,0,0,0,917,94,97,105,978,17,1,4,1000,5,12,12,18,Matches
641,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25-304,1995,26.7,1528,1493,35,31,0,82,36,1,0,0,0,0,1354,73,101,112,1351,38,4,7,1466,1,3,7,4,Matches
642,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,26-013,1995,24.9,1037,1018,19,18,0,150,28,8,1,0,1,0,751,137,149,165,756,60,0,5,908,0,8,16,13,Matches
643,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,20-149,2000,5.8,113,101,12,0,0,32,4,5,0,0,0,0,71,25,17,23,81,2,0,2,81,1,3,4,2,Matches
644,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,23-164,1997,5.3,138,126,12,1,0,27,1,8,0,0,0,0,96,27,15,23,100,3,2,5,98,0,5,3,10,Matches
645,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27-356,1993,1.3,79,70,9,5,0,7,4,0,0,0,0,0,60,8,11,60,12,2,4,0,64,0,2,1,6,Matches
646,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,24-004,1997,10.1,305,254,51,3,1,42,5,10,2,1,1,0,147,62,96,13,228,13,46,0,217,1,3,13,17,Matches
647,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,24-004,1997,0.9,15,15,0,0,0,4,0,1,0,0,0,0,12,2,1,2,13,0,0,0,9,0,0,1,2,Matches
648,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,24-004,1997,2.1,103,89,14,0,0,8,0,1,0,0,0,0,77,19,7,2,83,2,14,1,86,1,1,2,4,Matches
649,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,27-074,1994,29.5,1170,998,172,52,10,235,58,93,88,35,21,6,814,121,235,143,979,16,9,16,826,7,26,43,52,Matches
650,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,28-195,1992,15.0,827,803,24,24,1,122,34,0,0,0,0,0,618,51,158,109,651,32,0,0,720,3,11,10,5,Matches
651,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,29-103,1992,1.1,39,37,2,2,0,4,1,0,0,0,0,0,34,1,4,6,32,1,0,0,35,0,0,0,1,Matches
652,Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,it Serie A,24-168,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
653,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,es La Liga,20-176,2000,17.9,1138,1009,129,4,1,103,1,35,0,0,0,0,911,163,64,126,865,19,125,0,1013,2,4,18,36,Matches
654,Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,it Serie A,30-039,1991,16.1,255,233,22,0,1,64,5,4,0,0,0,0,160,54,41,17,181,20,2,11,180,0,3,8,8,Matches
655,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,it Serie A,27-046,1994,6.6,247,220,27,2,2,46,8,14,17,7,4,0,189,27,31,21,217,3,5,1,169,0,3,10,21,Matches
656,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,29-355,1991,9.5,297,287,10,0,3,89,14,12,0,0,0,0,91,82,124,176,18,44,0,5,147,2,14,8,19,Matches
657,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,29-077,1992,0.9,43,35,8,0,0,3,1,3,4,0,0,0,28,6,9,7,35,1,0,0,32,0,1,0,1,Matches
658,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,32-220,1988,5.6,157,146,11,0,0,67,0,5,0,0,0,0,68,57,32,16,94,16,0,4,97,0,2,5,9,Matches
659,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,it Serie A,32-220,1988,5.3,102,90,12,0,0,38,3,3,0,0,0,0,65,24,13,11,73,5,0,3,79,0,1,2,4,Matches
660,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,27-267,1993,31.0,2210,1874,336,62,0,212,41,54,0,0,0,0,1531,438,241,252,1629,31,274,4,1921,3,12,47,54,Matches
661,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,33-073,1988,18.2,1049,920,129,30,15,132,56,86,70,36,18,0,690,128,231,942,67,8,27,5,763,7,21,27,52,Matches
662,Alessandro Di Pardo\Alessandro-Di-Pardo,it ITA,MFDF,Juventus,it Serie A,21-284,1999,0.2,9,8,1,0,0,2,0,1,0,0,0,0,5,3,1,3,5,0,1,0,5,1,0,1,0,Matches
663,Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,MFFW,Benevento,it Serie A,19-282,2001,2.1,50,48,2,1,0,20,0,2,1,0,1,0,31,11,8,10,28,4,0,1,35,0,2,1,2,Matches
664,Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,fr Ligue 1,24-163,1996,28.8,539,502,37,0,1,122,9,13,0,0,0,0,425,81,33,55,450,15,0,7,428,0,4,16,23,Matches
665,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,es La Liga,29-342,1991,0.2,10,10,0,0,0,2,1,2,0,0,0,0,6,1,3,10,0,0,0,0,5,0,1,0,2,Matches
666,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21-295,1999,25.0,894,872,22,4,2,155,28,97,2,0,1,0,654,112,128,620,247,4,14,6,677,5,15,17,55,Matches
667,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,eng Premier League,29-182,1991,11.6,204,198,6,0,1,76,6,5,0,0,0,0,103,51,50,22,119,18,1,8,147,1,7,2,3,Matches
668,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,24-130,1996,19.9,868,835,33,31,0,81,35,2,0,0,0,0,658,70,140,67,736,43,2,1,743,5,24,9,14,Matches
669,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,24-359,1996,14.2,1026,969,57,22,1,75,17,5,0,0,0,0,881,80,65,828,134,13,35,3,956,2,8,13,7,Matches
670,Amad Diallo\Amad-Diallo,ci CIV,MF,Atalanta,it Serie A,18-291,2002,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,1,0,5,5,0,0,0,9,0,0,0,0,Matches
671,Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25-314,1995,22.5,510,493,17,0,2,150,15,16,0,0,0,0,285,130,95,85,319,26,2,23,353,0,10,23,31,Matches
672,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,25-314,1995,1.6,36,33,3,0,0,19,0,1,0,0,0,0,19,10,7,5,18,4,0,1,21,0,0,1,3,Matches
673,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,eng Premier League,22-051,1999,9.6,483,473,10,8,0,90,6,7,0,0,0,0,379,40,64,46,413,18,2,0,409,2,7,11,3,Matches
674,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,22-051,1999,4.9,282,274,8,8,0,27,10,3,0,0,0,0,208,45,29,36,239,5,0,0,245,1,4,4,3,Matches
675,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,eng Premier League,23-009,1998,12.1,304,296,8,1,2,62,2,13,4,2,0,1,218,47,39,243,37,7,1,4,224,2,3,8,18,Matches
676,Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,22-140,1998,2.0,79,74,5,0,0,18,3,11,3,0,0,0,50,18,11,63,10,2,2,0,55,0,0,4,6,Matches
677,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,eng Premier League,24-135,1996,23.0,930,795,135,40,4,102,49,70,81,34,35,5,553,138,239,805,75,25,13,6,616,5,16,39,42,Matches
678,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,fr Ligue 1,24-135,1996,4.5,139,121,18,5,4,19,10,7,10,8,1,1,82,25,32,110,16,7,3,0,90,1,4,1,9,Matches
679,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,eng Premier League,23-349,1997,28.6,2463,2420,43,40,1,178,55,2,0,0,0,0,2103,137,223,387,1958,76,3,5,2310,6,18,19,8,Matches
680,Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,22-062,1999,3.9,159,149,10,0,0,26,3,8,0,0,0,0,116,20,23,18,116,10,10,1,115,2,4,4,9,Matches
681,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,23-285,1997,7.3,473,463,10,7,1,66,5,0,0,0,0,0,369,45,59,41,406,20,3,2,422,1,3,4,3,Matches
682,Brahim Díaz\Brahim-Diaz,es ESP,MFFW,Milan,it Serie A,21-268,1999,10.8,400,376,24,5,2,55,7,7,14,4,2,2,333,32,35,149,236,7,2,3,345,1,3,7,10,Matches
683,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,32-320,1988,7.0,321,238,83,7,0,42,11,22,4,0,3,0,123,69,129,24,201,17,72,1,217,1,10,9,12,Matches
684,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,de Bundesliga,31-066,1990,9.6,381,345,36,10,2,57,9,17,13,4,4,4,264,58,59,314,38,8,11,3,284,2,7,6,17,Matches
685,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,eng Premier League,27-103,1994,24.0,1402,1363,39,37,0,130,46,3,0,0,0,0,999,113,290,225,1057,77,2,2,1171,2,20,14,20,Matches
686,Daan Dierckx\Daan-Dierckx,be BEL,DF,Parma,it Serie A,18-063,2003,2.0,62,62,0,0,0,5,1,0,0,0,0,0,51,2,9,5,53,4,0,0,55,0,0,0,0,Matches
687,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,eng Premier League,27-282,1993,23.8,1390,1101,289,54,0,167,42,106,29,12,16,0,683,320,387,971,64,90,206,4,1006,7,36,40,53,Matches
688,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,29-294,1991,4.1,329,326,3,3,0,32,17,0,0,0,0,0,255,17,57,65,243,10,0,0,296,1,2,2,0,Matches
689,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,28-078,1993,14.1,681,545,136,12,0,53,5,30,0,0,0,0,424,123,134,446,88,17,124,0,524,0,10,24,24,Matches
690,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22-310,1998,3.3,115,110,5,0,0,17,1,5,2,0,0,0,83,19,13,95,12,4,3,1,85,0,2,3,6,Matches
691,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,23-169,1997,25.4,1627,1273,354,99,1,163,75,95,98,37,50,4,847,290,490,1340,93,26,157,2,1143,10,29,56,62,Matches
692,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,30-070,1991,0.2,15,15,0,0,0,2,0,0,0,0,0,0,10,3,2,13,1,1,0,0,11,0,2,0,1,Matches
693,Eren Dinkçi\Eren-Dinkci,de GER,FW,Werder Bremen,de Bundesliga,19-136,2001,1.1,27,27,0,0,0,10,0,1,0,0,0,0,20,1,6,4,21,0,0,0,20,0,1,0,0,Matches
694,Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,fr Ligue 1,20-019,2001,10.9,626,608,18,9,1,51,13,3,0,0,0,0,504,61,61,70,495,25,9,8,555,0,7,8,7,Matches
695,Lois Diony\Lois-Diony,fr FRA,FW,Angers,fr Ligue 1,28-129,1992,17.2,358,325,33,0,1,103,8,28,0,0,0,0,220,70,68,56,237,20,0,12,217,0,13,20,29,Matches
696,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,24-109,1997,13.3,485,471,14,11,1,56,3,1,0,0,0,0,378,36,71,81,357,33,3,0,405,1,7,9,3,Matches
697,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,35-040,1986,22.4,750,730,20,18,1,161,27,7,0,0,0,0,403,103,244,72,507,116,0,3,531,4,27,16,18,Matches
698,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20-323,2000,22.5,985,952,33,15,0,189,20,24,10,3,3,1,738,118,129,73,845,39,8,6,776,3,18,29,30,Matches
699,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-163,1999,1.5,52,39,13,1,0,2,2,0,0,0,0,0,33,1,18,4,34,0,0,13,40,0,4,0,0,Matches
700,Assane Dioussé\Assane-Diousse,sn SEN,DF,Saint-Étienne,fr Ligue 1,23-220,1997,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Matches
701,Axel Disasi\Axel-Disasi,fr FRA,DF,Monaco,fr Ligue 1,23-048,1998,20.6,1425,1372,53,25,0,93,42,3,0,0,0,0,1134,96,195,141,1193,36,28,4,1240,6,19,16,8,Matches
702,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,21-019,2000,8.7,633,555,78,8,1,41,13,6,0,0,0,0,457,103,73,52,488,16,70,1,552,1,7,16,11,Matches
703,Djené\Djene,tg TOG,DF,Getafe,es La Liga,29-118,1991,28.4,856,785,71,47,0,119,27,6,0,0,0,0,493,119,244,184,528,83,24,5,656,3,15,12,9,Matches
