,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
238,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,de Bundesliga,18-193,2002,0.0,4,0,1,3,2,0,4,0,0,,0,0,3,35,19,1,1,0,0,0,5,3,60.0,1,Matches
239,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,29-106,1992,6.6,228,5,13,96,134,38,212,16,29,55.2,16,0,171,556,336,25,8,6,18,12,296,168,56.8,57,Matches
240,Haris Belkebla\Haris-Belkebla,dz ALG,MF,Brest,fr Ligue 1,27-090,1994,26.9,1525,101,504,867,236,13,1498,20,30,66.7,20,0,1081,5107,2533,70,14,2,17,23,1104,1029,93.2,32,Matches
241,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,29-247,1991,12.7,681,108,424,267,25,12,651,0,0,,0,0,294,1817,950,10,0,0,1,4,296,286,96.6,4,Matches
242,Karim Bellarabi\Karim-Bellarabi,de GER,MFFW,Leverkusen,de Bundesliga,31-020,1990,7.1,404,8,58,157,229,42,386,17,26,65.4,17,0,308,1629,1054,66,21,10,18,17,376,284,75.5,59,Matches
243,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,MFFW,Strasbourg,fr Ligue 1,22-305,1998,20.0,998,19,160,534,388,58,964,46,72,63.9,49,1,749,4435,2222,103,28,19,49,58,833,662,79.5,77,Matches
244,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,eng Premier League,26-040,1995,22.0,1424,54,397,638,465,45,1268,16,31,51.6,18,3,880,4255,2661,109,30,12,16,9,996,905,90.9,71,Matches
245,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17-303,2003,17.4,1244,28,213,716,395,63,1230,28,46,60.9,29,1,927,3710,1883,88,27,6,22,38,1049,926,88.3,104,Matches
246,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,27-129,1993,28.1,1088,22,74,562,547,145,1037,48,85,56.5,48,1,758,4189,2699,152,67,19,77,55,1389,813,58.5,212,Matches
247,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,es La Liga,22-084,1999,11.0,631,23,133,395,136,8,616,9,13,69.2,12,1,450,2178,950,37,11,0,10,12,522,443,84.9,26,Matches
