,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
295,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,es La Liga,30-225,1990,16.8,794,67,366,393,71,14,734,4,5,80.0,4,1,330,2161,1088,21,5,1,5,3,362,346,95.6,5,Matches
296,El Bilal Touré\El-Bilal-Toure,ml MLI,FWMF,Reims,fr Ligue 1,19-207,2001,12.7,411,22,48,228,163,44,388,9,20,45.0,12,1,203,881,447,23,12,5,36,20,582,270,46.4,72,Matches
297,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Fiorentina,it Serie A,28-239,1992,26.7,1736,78,370,714,737,54,1379,15,31,48.4,16,2,964,4750,2831,143,42,9,18,8,1146,1031,90.0,75,Matches
298,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,it Serie A,26-300,1994,9.2,572,37,236,298,67,4,511,3,8,37.5,3,0,366,1462,865,25,4,1,9,7,368,363,98.6,10,Matches
299,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,eng Premier League,24-241,1996,29.6,1803,79,487,1053,402,13,1774,44,65,67.7,47,3,1250,7462,3355,132,51,1,25,26,1252,1184,94.6,23,Matches
300,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,de Bundesliga,27-130,1993,14.4,755,14,135,386,289,45,712,14,32,43.8,17,6,483,2556,1337,61,26,5,48,15,664,494,74.4,92,Matches
301,Blanco\Blanco,es ESP,MFDF,Real Madrid,es La Liga,20-279,2000,1.4,102,5,19,70,18,0,102,1,1,100.0,1,0,64,198,64,2,0,0,0,0,77,73,94.8,2,Matches
302,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,es La Liga,22-133,1998,6.4,246,9,54,93,111,23,244,2,13,15.4,2,1,155,909,408,26,2,4,17,16,223,156,70.0,38,Matches
303,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25-277,1995,18.2,698,631,697,1,0,0,504,0,0,,0,0,374,1735,944,0,0,0,0,0,358,358,100.0,0,Matches
304,Ludovic Blas\Ludovic-Blas,fr FRA,MFFW,Nantes,fr Ligue 1,23-118,1997,27.1,1258,20,166,686,518,92,1212,78,136,57.4,91,6,960,5487,2824,148,48,15,58,84,1130,845,74.8,169,Matches
305,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,32-237,1988,23.9,2003,163,751,1299,76,15,1950,4,4,100.0,4,0,1414,7412,3876,153,25,1,5,2,1487,1474,99.1,4,Matches
306,Antonin Bobichon\Antonin-Bobichon,fr FRA,MFFW,Angers,fr Ligue 1,25-226,1995,7.4,456,2,48,250,209,20,415,14,23,60.9,14,1,328,1930,998,46,25,3,9,18,392,319,81.4,49,Matches
307,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,es La Liga,26-078,1995,2.8,132,5,31,80,32,5,130,0,3,0.0,0,0,70,445,250,12,1,0,3,8,101,77,76.2,6,Matches
308,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,de Bundesliga,27-037,1994,20.0,954,11,162,512,347,49,939,23,33,69.7,26,1,612,2921,1600,74,21,5,37,32,782,622,79.5,100,Matches
309,Sacha Boey\Sacha-Boey,fr FRA,DF,Dijon,fr Ligue 1,20-227,2000,20.7,1313,82,439,611,319,22,1073,20,33,60.6,21,0,629,2830,1435,68,11,6,20,26,764,653,85.5,43,Matches
310,Sacha Boey\Sacha-Boey,fr FRA,DF,Rennes,fr Ligue 1,20-227,2000,1.4,105,0,28,56,24,2,87,0,2,0.0,1,0,56,137,61,2,0,0,3,2,64,60,93.8,2,Matches
311,Jeremie Boga\Jeremie-Boga,ci CIV,FWMF,Sassuolo,it Serie A,24-115,1997,16.4,859,19,125,379,453,64,849,72,123,58.5,78,5,770,4718,2568,142,43,21,39,41,892,710,79.6,104,Matches
312,Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,de Bundesliga,18-335,2002,3.1,213,3,61,117,49,3,198,3,6,50.0,3,0,145,677,401,14,2,0,7,4,142,134,94.4,7,Matches
313,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,eng Premier League,20-275,2000,10.8,499,27,136,163,225,35,440,16,36,44.4,19,1,286,1111,515,25,5,1,16,20,339,256,75.5,32,Matches
314,Quentin Boisgard\Quentin-Boisgard,fr FRA,MFFW,Lorient,fr Ligue 1,24-042,1997,14.6,747,8,92,322,383,29,648,19,29,65.5,20,0,462,2242,1200,61,20,5,33,47,607,468,77.1,90,Matches
315,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,eng Premier League,30-084,1991,19.0,1096,128,561,544,39,17,1075,5,5,100.0,5,0,632,2801,1121,33,6,0,3,6,732,706,96.4,3,Matches
316,Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MF,Fiorentina,it Serie A,31-249,1989,20.7,1040,26,174,573,375,38,1006,28,42,66.7,29,2,755,4105,2092,109,37,4,23,27,905,721,79.7,77,Matches
317,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Torino,it Serie A,23-342,1997,5.1,178,2,14,91,86,22,168,5,10,50.0,5,0,131,572,192,9,4,2,10,7,201,126,62.7,41,Matches
318,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Sampdoria,it Serie A,23-342,1997,1.5,39,0,3,24,17,5,37,2,2,100.0,2,0,28,258,156,6,3,1,1,3,41,25,61.0,10,Matches
319,Kevin Bonifazi\Kevin-Bonifazi,it ITA,DF,Udinese,it Serie A,24-344,1996,22.5,1304,238,722,581,77,20,1252,12,15,80.0,14,1,877,5175,2557,58,12,1,10,5,866,848,97.9,4,Matches
320,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,it Serie A,33-362,1987,20.0,1530,206,764,824,50,20,1478,2,3,66.7,2,0,990,4946,2957,43,4,0,7,2,1191,1168,98.1,8,Matches
321,Dennis Borkowski\Dennis-Borkowski,de GER,MF,RB Leipzig,de Bundesliga,19-092,2002,0.1,11,0,1,5,5,1,11,0,1,0.0,0,0,7,32,6,0,0,0,1,0,11,9,81.8,5,Matches
322,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,de Bundesliga,22-037,1999,20.1,960,193,675,299,25,18,930,4,6,66.7,4,1,485,2335,813,3,0,0,2,2,555,539,97.1,4,Matches
323,Sven Botman\Sven-Botman,nl NED,DF,Lille,fr Ligue 1,21-106,2000,32.8,2547,269,1303,1317,60,27,2496,8,8,100.0,8,0,1594,7721,4011,115,14,0,9,6,1841,1799,97.7,6,Matches
324,Denis Bouanga\Denis-Bouanga,ga GAB,MFFW,Saint-Étienne,fr Ligue 1,26-168,1994,26.5,1156,39,192,543,506,154,1100,57,126,45.2,65,4,725,3863,2589,122,39,25,90,65,1297,762,58.8,174,Matches
325,Hicham Boudaoui\Hicham-Boudaoui,dz ALG,MFFW,Nice,fr Ligue 1,21-217,1999,15.6,912,36,236,507,237,27,903,23,36,63.9,28,1,630,3466,1749,70,20,6,24,25,776,655,84.4,58,Matches
326,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,31-068,1990,7.2,543,2,83,292,218,11,485,16,21,76.2,16,1,373,2003,1190,47,18,0,14,18,490,394,80.4,36,Matches
327,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Angers,fr Ligue 1,27-223,1993,8.1,433,2,70,230,181,26,425,40,67,59.7,43,2,366,1779,1039,52,22,5,12,40,386,316,81.9,35,Matches
328,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,de Bundesliga,21-312,1999,6.7,299,10,53,151,105,23,294,7,11,63.6,8,0,163,650,386,22,7,2,16,20,295,175,59.3,40,Matches
329,Farid Boulaya\Farid-Boulaya,dz ALG,MFFW,Metz,fr Ligue 1,28-062,1993,29.3,1786,16,204,1012,739,58,1540,54,90,60.0,60,5,1224,8493,4066,205,78,18,62,42,1508,1218,80.8,121,Matches
330,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,30-023,1991,29.0,1037,937,1032,4,1,1,808,1,1,100.0,1,0,555,2234,793,0,0,0,0,1,540,537,99.4,0,Matches
331,Ismaëlben Boura\Ismaelben-Boura,fr FRA,DF,Lens,fr Ligue 1,20-257,2000,8.1,527,20,128,279,159,7,434,12,18,66.7,12,0,311,1582,974,41,17,1,19,15,337,293,86.9,22,Matches
332,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,it Serie A,29-264,1991,5.2,403,25,103,255,63,5,388,6,10,60.0,6,0,254,867,479,20,5,1,3,9,298,280,94.0,7,Matches
333,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,27-104,1994,24.8,1887,38,236,1019,700,53,1676,10,18,55.6,11,0,1141,4257,2003,98,31,5,21,14,1496,1306,87.3,111,Matches
334,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,eng Premier League,24-129,1996,26.0,974,12,147,398,523,109,905,38,60,63.3,38,2,702,5007,2187,107,26,33,48,56,1049,644,61.4,166,Matches
335,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,de Bundesliga,30-151,1990,12.8,911,113,533,412,22,14,896,2,2,100.0,2,1,612,3559,1775,27,2,0,0,1,666,655,98.3,5,Matches
336,John Boye\John-Boye,gh GHA,DF,Metz,fr Ligue 1,34-005,1987,31.2,1489,225,906,604,35,17,1457,4,4,100.0,4,0,771,2966,1010,9,2,0,7,11,842,816,96.9,3,Matches
337,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,es La Liga,25-059,1996,25.3,1020,25,88,641,352,74,975,54,96,56.3,57,0,706,2750,1190,61,19,14,126,78,1252,707,56.5,151,Matches
338,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,de Bundesliga,20-023,2001,7.0,336,12,81,200,76,14,326,5,17,29.4,6,0,238,1129,557,23,6,4,17,25,275,212,77.1,22,Matches
339,Umut Bozok\Umut-Bozok,tr TUR,FWMF,Lorient,fr Ligue 1,24-221,1996,0.7,43,0,3,25,19,3,43,2,4,50.0,2,0,33,164,69,6,4,0,6,1,47,34,72.3,10,Matches
340,Jayden Braaf\Jayden-Braaf,nl NED,FW,Udinese,it Serie A,18-240,2002,1.3,45,1,3,15,29,9,45,4,5,80.0,4,1,34,203,79,4,1,0,4,3,56,33,58.9,16,Matches
341,Domagoj Bradarić\Domagoj-Bradaric,hr CRO,DF,Lille,fr Ligue 1,21-139,1999,13.9,1029,37,267,521,310,17,909,9,13,69.2,9,1,617,3045,1955,101,27,7,8,11,683,639,93.6,51,Matches
342,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,eng Premier League,29-104,1992,11.7,526,43,118,237,206,23,506,15,21,71.4,17,2,309,1877,874,48,12,5,16,11,385,299,77.7,30,Matches
343,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,es La Liga,29-327,1991,12.2,388,10,35,147,225,73,378,11,16,68.8,11,0,269,1100,537,36,8,12,24,22,498,303,60.8,95,Matches
344,Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,de Bundesliga,24-361,1996,15.2,1033,13,121,458,515,61,1010,30,44,68.2,31,2,741,3874,1416,84,22,10,31,29,979,804,82.1,147,Matches
345,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,es La Liga,29-075,1992,7.8,315,14,49,155,130,28,308,5,5,100.0,5,1,183,998,581,27,12,7,12,15,287,190,66.2,34,Matches
346,Lilian Brassier\Lilian-Brassier,fr FRA,DF,Brest,fr Ligue 1,21-177,1999,10.0,744,116,389,367,43,6,719,5,6,83.3,5,0,507,3109,1641,60,11,0,2,6,521,508,97.5,4,Matches
347,Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,es La Liga,23-083,1998,0.2,11,0,4,7,2,0,11,0,0,,0,0,5,15,6,0,0,0,0,0,9,8,88.9,0,Matches
348,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,38-015,1983,15.0,549,475,549,1,0,0,401,3,3,100.0,3,0,288,1292,763,0,0,0,0,0,255,255,100.0,0,Matches
349,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,de Bundesliga,22-309,1998,18.4,977,8,99,463,490,59,915,24,42,57.1,27,0,669,4323,2315,126,41,18,50,37,906,707,78.0,133,Matches
350,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,24-041,1997,26.6,1682,241,923,785,86,32,1639,3,8,37.5,4,0,1036,6224,3199,53,9,0,7,10,1089,1058,97.2,8,Matches
351,Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,de Bundesliga,27-039,1994,0.0,2,1,1,2,0,0,2,1,1,100.0,1,0,2,3,3,0,0,0,0,0,0,0,,0,Matches
352,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,eng Premier League,21-027,2000,11.6,319,6,29,126,179,30,311,9,16,56.3,9,0,190,662,324,16,6,2,20,15,432,206,47.7,65,Matches
353,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,26-151,1994,13.6,985,141,637,394,19,6,940,1,2,50.0,1,0,594,3342,1853,31,8,0,0,0,664,650,97.9,0,Matches
354,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,35-269,1985,6.3,244,4,30,140,79,19,237,2,5,40.0,2,0,137,522,176,10,2,1,18,12,307,184,59.9,40,Matches
355,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,23-245,1997,11.0,355,18,88,228,47,3,348,3,3,100.0,3,0,191,679,231,6,2,0,6,10,198,175,88.4,8,Matches
356,Nathan Broadhead\Nathan-Broadhead,wal WAL,MF,Everton,eng Premier League,23-023,1998,0.0,3,0,1,2,0,0,3,0,0,,0,0,1,1,0,0,0,0,0,0,2,2,100.0,0,Matches
357,Dylan Bronn\Dylan-Bronn,tn TUN,DF,Metz,fr Ligue 1,25-313,1995,33.9,1829,190,980,925,69,15,1754,14,17,82.4,14,0,1189,6414,3853,99,19,0,5,15,1202,1175,97.8,6,Matches
358,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,28-090,1993,28.2,2052,207,1065,1117,51,26,1972,7,11,63.6,7,1,1257,8343,4471,99,14,1,3,9,1318,1280,97.1,8,Matches
359,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,32-285,1988,14.0,875,52,245,392,278,6,639,8,17,47.1,10,2,391,1808,1132,43,17,1,5,7,469,411,87.6,19,Matches
360,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,eng Premier League,25-130,1995,26.8,1296,62,250,728,369,48,1269,10,15,66.7,11,0,632,2597,1155,55,21,7,19,10,799,697,87.2,55,Matches
361,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,28-163,1992,25.3,2208,114,561,1317,482,11,2083,8,12,66.7,8,1,1522,8120,3563,136,38,2,16,20,1698,1643,96.8,35,Matches
362,Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,it Serie A,28-233,1992,16.6,1171,61,348,693,201,6,1068,13,17,76.5,15,0,688,3674,1945,63,15,1,8,10,783,749,95.7,18,Matches
363,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,es La Liga,23-094,1998,0.3,7,1,1,3,3,0,7,0,0,,0,0,2,4,2,0,0,0,0,0,6,4,66.7,0,Matches
364,Juan Brunetta\Juan-Brunetta,ar ARG,FWMF,Parma,it Serie A,23-351,1997,3.2,156,0,14,80,69,13,138,6,10,60.0,6,0,106,665,332,17,3,2,12,5,150,104,69.3,22,Matches
365,Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,de Bundesliga,27-070,1994,26.5,1602,132,623,774,274,14,1334,32,38,84.2,32,2,838,3434,1615,62,17,3,11,13,839,795,94.8,10,Matches
366,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,22-221,1998,1.0,31,0,3,17,14,3,31,1,3,33.3,1,0,25,113,28,2,0,0,5,4,46,26,56.5,11,Matches
367,Bryan\Bryan,es ESP,FW,Sevilla,es La Liga,20-076,2001,0.1,10,0,1,6,3,1,10,0,0,,0,0,6,30,28,2,0,1,0,1,9,8,88.9,0,Matches
368,Bryan\Bryan,es ESP,MFFW,Eibar,es La Liga,20-076,2001,21.4,1065,12,96,401,659,78,990,56,96,58.3,60,5,809,4861,2815,176,45,29,45,52,1030,740,71.8,102,Matches
369,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,eng Premier League,27-223,1993,5.3,352,18,114,149,106,7,290,8,8,100.0,8,0,175,840,503,23,7,0,4,5,207,185,89.4,7,Matches
370,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,eng Premier League,24-178,1996,10.3,525,58,252,250,62,7,507,3,5,60.0,3,0,275,1342,609,11,8,0,4,5,292,274,93.8,8,Matches
371,Lucas Buadés\Lucas-Buades,fr FRA,FW,Nîmes,fr Ligue 1,23-121,1997,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,Matches
372,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,es La Liga,29-280,1991,14.7,535,20,42,262,258,84,518,7,14,50.0,8,2,252,914,473,31,10,10,53,23,806,390,48.4,97,Matches
373,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,43-090,1978,7.0,279,256,278,1,0,0,222,0,0,,0,0,162,541,273,0,0,0,0,0,164,162,98.8,0,Matches
374,Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,de Bundesliga,28-030,1993,10.2,430,14,92,192,184,20,416,12,22,54.5,14,0,291,1860,929,42,19,6,28,17,394,270,68.5,47,Matches
375,Alessandro Buongiorno\Alessandro-Buongiorno,it ITA,DF,Torino,it Serie A,21-326,1999,6.2,355,48,185,199,16,4,340,0,0,,0,0,224,1505,865,16,3,0,4,3,246,238,96.7,1,Matches
376,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,29-109,1992,12.3,676,81,324,369,18,12,650,1,1,100.0,1,0,336,2160,1085,18,2,1,0,2,360,345,95.8,1,Matches
377,Burgui\Burgui,es ESP,MF,Alavés,es La Liga,27-181,1993,0.2,12,1,1,7,6,1,12,0,0,,0,0,8,43,35,3,2,1,0,0,12,7,58.3,1,Matches
378,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,de Bundesliga,20-291,2000,14.4,602,21,88,286,273,73,562,22,43,51.2,22,0,400,2081,1176,55,19,16,40,27,642,364,56.7,89,Matches
379,Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,de Bundesliga,21-087,2000,0.2,8,0,2,5,1,0,8,1,1,100.0,1,0,5,5,1,0,0,0,1,0,8,6,75.0,2,Matches
380,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,eng Premier League,24-021,1997,12.9,400,5,33,173,221,60,389,16,24,66.7,16,2,243,1210,613,39,6,18,41,29,604,275,45.5,101,Matches
381,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,30-165,1990,16.0,561,489,560,2,0,0,457,0,0,,0,0,316,1250,568,0,0,0,1,0,325,323,99.4,0,Matches
382,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,28-354,1992,17.9,1203,76,373,579,313,36,1079,10,15,66.7,11,0,654,3506,1950,66,18,1,17,11,817,724,88.6,39,Matches
383,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,25-017,1996,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
384,Patrick Burner\Patrick-Burner,fr FRA,DF,Nîmes,fr Ligue 1,25-017,1996,12.9,736,52,266,341,158,7,594,10,18,55.6,11,0,394,1621,1008,37,11,3,8,9,421,382,90.7,8,Matches
385,Maxime Busi\Maxime-Busi,be BEL,DF,Parma,it Serie A,21-196,1999,9.2,675,32,222,364,134,10,590,6,13,46.2,8,2,393,2113,1229,52,11,2,11,5,464,427,92.0,11,Matches
386,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,32-286,1988,23.0,2408,60,441,1568,505,12,2337,10,13,76.9,10,1,1682,5276,2695,119,39,2,16,9,1993,1915,96.1,39,Matches
387,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,32-060,1989,1.0,39,34,38,1,0,0,24,0,0,,0,0,12,75,45,0,0,0,0,0,13,13,100.0,0,Matches
388,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,eng Premier League,23-028,1998,0.2,17,0,5,12,0,0,16,0,0,,0,0,11,23,17,1,0,0,0,1,14,13,92.9,0,Matches
389,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,21-206,1999,1.0,32,29,31,1,0,0,30,0,0,,0,0,21,90,33,0,0,0,0,0,16,16,100.0,0,Matches
390,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,26-009,1995,14.7,603,59,286,314,33,9,553,3,4,75.0,3,0,253,1315,726,15,5,0,3,1,261,244,93.5,3,Matches
391,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,39-212,1981,1.0,26,21,26,1,0,0,19,0,0,,0,0,12,77,20,0,0,0,0,0,15,15,100.0,0,Matches
392,Jimmy Cabot\Jimmy-Cabot,fr FRA,FW,Angers,fr Ligue 1,27-010,1994,8.4,454,4,87,214,194,23,442,31,55,56.4,35,4,344,1738,921,49,18,6,17,18,393,306,77.9,45,Matches
393,Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,it Serie A,34-021,1987,20.2,1034,78,300,576,225,22,913,2,8,25.0,3,1,596,3100,1869,68,23,0,6,9,683,637,93.3,20,Matches
394,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,23-301,1997,27.4,1992,81,713,1028,379,15,1688,27,36,75.0,28,1,1204,5686,2927,100,36,2,19,19,1198,1144,95.5,33,Matches
395,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,MFFW,Reims,fr Ligue 1,24-034,1997,21.7,1036,18,193,489,438,46,973,21,45,46.7,24,2,728,4479,2631,118,41,12,42,30,871,725,83.2,89,Matches
396,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,eng Premier League,35-130,1985,16.0,751,125,474,299,25,14,733,1,2,50.0,1,0,379,2046,938,22,0,0,1,2,475,451,94.9,1,Matches
397,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MF,Lens,fr Ligue 1,36-100,1985,22.3,1000,75,220,627,184,20,967,7,10,70.0,8,0,512,2518,1367,74,15,1,14,8,670,593,88.5,39,Matches
398,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,32-235,1988,10.0,372,4,31,189,175,56,365,13,17,76.5,13,1,244,953,437,18,6,5,23,18,455,292,64.2,85,Matches
399,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26-351,1994,4.0,112,107,112,0,0,0,72,0,0,,0,0,48,187,100,0,0,0,0,0,32,32,100.0,0,Matches
400,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,eng Premier League,30-098,1991,8.4,689,10,103,383,252,13,658,12,18,66.7,12,0,545,2737,1269,58,23,1,11,7,610,562,92.1,31,Matches
401,Cala\Cala,es ESP,DF,Cádiz,es La Liga,31-153,1989,24.2,927,143,508,450,31,20,884,5,6,83.3,6,0,425,2484,1096,17,4,0,5,1,464,433,93.3,4,Matches
402,Arturo Calabresi\Arturo-Calabresi,it ITA,DFFW,Bologna,it Serie A,25-042,1996,0.2,7,4,6,1,0,0,5,0,0,,0,0,1,0,0,0,0,0,0,0,1,1,100.0,0,Matches
403,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Cagliari,it Serie A,25-042,1996,0.0,4,0,0,1,4,0,4,1,1,100.0,1,0,5,29,22,1,1,0,0,0,3,3,100.0,1,Matches
404,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,24-143,1996,25.6,1846,109,588,965,417,35,1640,14,34,41.2,14,1,1109,5639,3412,127,45,5,17,12,1193,1111,93.1,60,Matches
405,Riccardo Calafiori\Riccardo-Calafiori,it ITA,DF,Roma,it Serie A,18-344,2002,0.7,56,2,22,26,12,1,48,0,1,0.0,0,0,32,210,128,5,1,0,3,1,34,31,91.2,1,Matches
406,Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,it Serie A,26-358,1994,1.2,71,6,34,36,5,3,69,0,0,,0,0,45,228,64,4,1,0,0,0,37,36,97.3,1,Matches
407,Luca Caldirola\Luca-Caldirola,it ITA,DF,Benevento,it Serie A,30-086,1991,13.6,730,119,420,334,37,12,686,0,0,,0,0,376,2889,1904,44,9,0,1,1,477,462,96.9,3,Matches
408,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,24-223,1996,27.6,1892,278,1083,863,40,17,1833,3,3,100.0,3,0,1123,5436,2728,60,6,0,5,0,1334,1301,97.5,5,Matches
409,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,it Serie A,27-079,1994,24.4,1679,22,171,768,845,71,1458,27,44,61.4,29,2,1087,6178,3371,191,60,22,49,33,1443,1187,82.3,168,Matches
410,Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,18-245,2002,3.3,174,12,62,88,31,5,147,3,10,30.0,3,1,98,483,218,11,1,1,3,4,115,92,80.0,7,Matches
411,Fabrizio Caligara\Fabrizio-Caligara,it ITA,MF,Cagliari,it Serie A,21-016,2000,2.0,98,8,29,44,30,1,91,1,4,25.0,1,0,46,174,84,4,2,0,1,5,68,55,80.9,2,Matches
412,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFDF,Augsburg,de Bundesliga,33-103,1988,28.6,1588,61,362,791,551,42,1362,59,88,67.0,64,2,978,5201,2933,128,54,10,66,69,1139,880,77.3,129,Matches
413,José Callejón\Jose-Callejon,es ESP,FWMF,Fiorentina,it Serie A,34-076,1987,6.7,297,9,30,155,135,17,279,5,6,83.3,5,1,204,939,492,28,12,1,5,10,286,216,75.5,37,Matches
414,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,es La Liga,27-217,1993,17.2,594,9,39,281,304,93,564,21,42,50.0,23,1,348,1401,746,49,11,10,46,41,838,427,51.0,115,Matches
415,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,24-043,1997,25.9,864,37,78,384,440,129,848,16,39,41.0,18,3,451,2283,825,47,12,17,89,44,1298,662,51.0,162,Matches
416,Dani Calvo\Dani-Calvo,es ESP,DF,Elche,es La Liga,27-027,1994,15.8,729,112,469,284,17,10,709,2,2,100.0,2,0,386,2255,1168,22,1,0,2,2,450,439,97.6,1,Matches
417,Mahdi Camara\Mahdi-Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,22-302,1998,32.6,1854,82,521,1186,280,30,1791,31,48,64.6,34,2,1198,7115,3552,144,38,3,26,32,1317,1189,90.3,43,Matches
