,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
29,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,23-064,1998,3.0,4,1,0,0,0,5.0,0.45,+1.0,+0.34,14,37,37.8,68,13,41.2,38.5,22,40.9,39.8,28,3,10.7,2,0.67,14.2,Matches
30,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41-341,1979,2.0,3,0,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1.00,14.3,Matches
31,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,32-013,1989,6.0,9,1,1,0,0,8.7,0.32,-0.3,-0.04,42,107,39.3,129,24,59.7,44.0,52,57.7,47.4,52,4,7.7,7,1.17,13.9,Matches
32,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29-308,1991,2.0,7,1,0,3,0,4.9,0.46,-2.1,-1.07,16,30,53.3,39,6,56.4,40.9,11,72.7,50.5,13,1,7.7,1,0.50,13.0,Matches
33,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,34-098,1987,33.0,51,4,0,4,1,53.0,0.31,+3.0,+0.09,169,372,45.4,1009,141,31.6,31.0,201,26.4,26.1,285,26,9.1,24,0.73,15.9,Matches
34,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,38-124,1983,34.0,85,5,2,10,1,73.3,0.36,-10.7,-0.32,230,556,41.4,1081,147,41.1,34.9,291,38.5,32.8,299,17,5.7,30,0.88,15.4,Matches
35,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,37-174,1983,6.0,9,1,1,0,0,9.4,0.36,+0.4,+0.07,35,70,50.0,245,23,24.5,30.3,42,23.8,24.4,48,0,0.0,7,1.17,16.0,Matches
36,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33-306,1987,35.0,53,6,2,6,1,44.1,0.28,-6.9,-0.20,285,624,45.7,974,141,46.3,38.7,264,65.5,49.0,295,18,6.1,19,0.54,13.9,Matches
37,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28-359,1992,34.0,24,6,0,3,1,27.8,0.22,+4.8,+0.14,121,321,37.7,961,210,24.5,32.4,212,40.6,39.9,267,23,8.6,21,0.62,14.9,Matches
38,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26-311,1994,30.0,51,5,1,7,0,52.1,0.30,+1.1,+0.04,181,430,42.1,622,119,45.8,36.8,250,58.0,42.1,281,28,10.0,15,0.50,13.1,Matches
39,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,23-039,1998,1.0,5,1,0,1,0,5.5,0.43,+0.5,+0.50,0,5,0.0,18,8,27.8,32.3,5,0.0,16.0,16,1,6.3,0,0.00,8.4,Matches
40,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-209,1990,25.0,43,3,1,4,2,37.0,0.28,-4.0,-0.16,184,532,34.6,506,88,68.4,50.5,220,84.5,60.2,239,22,9.2,6,0.24,12.2,Matches
41,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-170,1999,1.5,1,1,0,0,0,1.0,0.03,0.0,+0.01,5,16,31.3,40,13,27.5,32.2,12,41.7,39.0,11,0,0.0,1,0.67,15.3,Matches
42,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,29-101,1992,31.7,44,3,0,5,0,43.3,0.34,-0.7,-0.02,277,731,37.9,779,88,68.4,54.6,218,90.8,72.8,237,19,8.0,37,1.17,17.0,Matches
43,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,30-181,1990,28.0,42,4,2,7,2,39.2,0.28,-0.8,-0.03,264,525,50.3,654,105,53.4,40.8,243,72.4,53.4,325,21,6.5,15,0.54,13.0,Matches
44,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,22-069,1999,33.0,38,2,2,7,1,38.0,0.30,+1.0,+0.03,151,365,41.4,915,129,31.8,31.9,190,38.9,34.2,291,26,8.9,18,0.55,14.3,Matches
45,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,23-259,1997,33.5,55,8,1,10,1,53.0,0.35,-1.0,-0.03,214,529,40.5,768,158,51.2,41.4,247,55.1,44.2,318,22,6.9,16,0.48,14.3,Matches
46,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32-046,1989,15.0,25,6,1,3,1,20.5,0.32,-3.5,-0.23,76,201,37.8,253,43,48.6,40.4,108,72.2,48.6,111,7,6.3,6,0.40,12.8,Matches
