,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
166,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,34-113,1987,28.0,50,6,1,5,1,36.7,0.32,-12.3,-0.44,164,383,42.8,648,91,41.8,35.4,232,48.3,37.7,260,16,6.2,13,0.46,12.8,Matches
167,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,30-000,1991,26.0,41,5,1,8,1,41.0,0.28,+1.0,+0.04,108,298,36.2,684,149,34.1,33.4,214,30.4,26.5,230,24,10.4,12,0.46,12.9,Matches
168,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32-139,1988,27.1,40,5,0,4,0,35.7,0.31,-4.3,-0.16,163,350,46.6,933,111,31.7,31.8,189,28.6,30.1,217,12,5.5,17,0.63,13.4,Matches
169,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,28-031,1993,25.0,28,5,0,4,3,28.4,0.34,+3.4,+0.14,259,669,38.7,590,13,87.3,58.6,179,86.0,58.5,192,18,9.4,34,1.36,16.5,Matches
170,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28-360,1992,13.0,19,1,0,2,0,14.9,0.28,-4.1,-0.32,49,108,45.4,306,63,24.5,30.3,53,62.3,48.6,81,6,7.4,14,1.08,17.2,Matches
171,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,26-033,1995,1.0,1,0,0,0,0,0.6,0.32,-0.4,-0.37,2,6,33.3,20,4,25.0,31.1,8,12.5,20.5,10,0,0.0,0,0.00,7.0,Matches
172,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,26-047,1995,6.0,12,1,0,1,0,10.6,0.36,-1.4,-0.23,41,86,47.7,220,35,36.8,32.3,32,15.6,26.0,61,4,6.6,1,0.17,11.7,Matches
173,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,31-017,1990,27.0,27,3,0,4,1,25.8,0.26,-0.2,-0.01,95,168,56.5,736,118,19.6,28.7,168,14.3,23.7,223,15,6.7,22,0.81,14.3,Matches
174,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,35-085,1986,1.0,3,1,0,2,0,2.9,0.35,-0.1,-0.05,2,5,40.0,23,7,13.0,21.8,4,50.0,30.8,3,1,33.3,0,0.00,8.1,Matches
175,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,29-005,1992,28.0,27,3,1,4,2,26.3,0.28,+1.3,+0.05,127,218,58.3,795,134,21.9,29.0,148,29.7,31.8,159,19,11.9,22,0.79,17.4,Matches
